Order,Family,Genus,ASVs,Sites,CollectionWindows,Samples
Coleoptera,Scarabaeidae,Phyllophaga,930,20,34,1125
Diptera,Tipulidae,Tipula,165,19,32,458
Coleoptera,Elateridae,Melanotus,151,19,32,393
Diptera,Chironomidae,NA,150,17,30,272
Coleoptera,Pyrochroidae,Dendroides,133,19,32,547
Megaloptera,Corydalidae,Chauliodes,123,19,30,240
Diptera,Limoniidae,Pseudolimnophila,80,16,23,324
Ephemeroptera,Heptageniidae,Maccaffertium,74,14,23,132
Lepidoptera,Depressariidae,Psilocorsis,71,15,24,119
Coleoptera,Elateridae,Hemicrepidius,65,19,33,656
Diptera,Limoniidae,NA,62,18,27,137
Diptera,Limoniidae,Erioptera,59,17,28,166
Diptera,Chironomidae,Procladius,58,18,28,200
Trichoptera,Hydropsychidae,Hydropsyche,56,17,27,270
Coleoptera,Elateridae,Athous,53,14,17,74
Diptera,Chironomidae,Chironomus,48,16,28,310
Psocodea,Psocidae,Metylophorus,47,14,21,107
Hemiptera,Cicadellidae,Gyponana,46,12,14,49
Coleoptera,Scarabaeidae,Diplotaxis,42,19,27,406
Coleoptera,Scarabaeidae,Euphoria,39,17,24,114
Lepidoptera,Crambidae,Elophila,39,17,20,124
Diptera,Limoniidae,Geranomyia,38,14,16,74
Lepidoptera,Tortricidae,Argyrotaenia,38,11,16,49
Coleoptera,Coccinellidae,Harmonia,37,19,32,159
Diptera,Chaoboridae,Chaoborus,37,12,22,113
Diptera,Limoniidae,Dicranomyia,36,13,21,99
Diptera,Cecidomyiidae,NA,35,12,20,74
Lepidoptera,Lasiocampidae,Malacosoma,35,17,17,66
Diptera,Culicidae,Aedes,34,10,17,52
Diptera,Limoniidae,Helius,34,10,15,60
Lepidoptera,Erebidae,Idia,34,10,13,37
Lepidoptera,Coleophoridae,Coleophora,33,6,9,32
Hemiptera,Aphididae,Aphis,32,16,21,105
Diptera,Tipulidae,Dolichopeza,31,15,26,116
Lepidoptera,Gracillariidae,Caloptilia,30,17,26,197
