Order,Family,Genus,ASVs,Sites,CollectionWindows,Samples
Coleoptera,Scarabaeidae,Phyllophaga,838,18,23,469
Diptera,Tipulidae,Tipula,119,18,22,251
Coleoptera,Elateridae,Melanotus,101,18,22,194
Diptera,Chironomidae,NA,101,15,21,146
Coleoptera,Pyrochroidae,Dendroides,99,18,23,241
Megaloptera,Corydalidae,Chauliodes,76,16,20,104
Lepidoptera,Depressariidae,Psilocorsis,48,12,17,67
Coleoptera,Elateridae,Hemicrepidius,42,18,23,267
Diptera,Limoniidae,Erioptera,42,16,20,91
Diptera,Limoniidae,Pseudolimnophila,42,16,16,137
Diptera,Chironomidae,Procladius,41,15,19,112
Trichoptera,Hydropsychidae,Hydropsyche,41,16,17,141
Ephemeroptera,Heptageniidae,Maccaffertium,38,9,15,63
Coleoptera,Elateridae,Athous,37,14,12,47
Hemiptera,Cicadellidae,Gyponana,37,12,10,34
Diptera,Limoniidae,NA,36,14,14,65
Coleoptera,Scarabaeidae,Diplotaxis,34,17,19,188
Diptera,Chironomidae,Chironomus,32,15,19,128
Diptera,Limoniidae,Geranomyia,29,11,11,38
Diptera,Chaoboridae,Chaoborus,28,10,15,61
Diptera,Tipulidae,Dolichopeza,27,12,17,66
Lepidoptera,Tortricidae,Argyrotaenia,27,10,14,31
Diptera,Chironomidae,Tanytarsus,25,4,9,13
Coleoptera,Coccinellidae,Harmonia,24,18,21,83
Diptera,Culicidae,Aedes,24,9,13,32
Ephemeroptera,Heptageniidae,Stenacron,24,13,16,78
Lepidoptera,Crambidae,Elophila,24,14,14,64
Lepidoptera,Lasiocampidae,Malacosoma,24,13,7,28
Diptera,Limoniidae,Dicranomyia,23,10,15,51
Ephemeroptera,Ephemeridae,Hexagenia,23,13,18,107
Diptera,Cecidomyiidae,NA,22,10,14,38
Hymenoptera,Ichneumonidae,Enicospilus,22,11,12,54
Lepidoptera,Gelechiidae,Coleotechnites,22,8,9,19
Psocodea,Psocidae,Metylophorus,22,10,12,49
Coleoptera,Scarabaeidae,Euphoria,21,14,14,58
Diptera,Chaoboridae,NA,21,4,5,14
Diptera,Culicidae,NA,21,11,14,42
Ephemeroptera,Caenidae,Caenis,21,14,15,49
Ephemeroptera,Heptageniidae,Leucrocuta,20,9,13,24
Diptera,Tipulidae,Nephrotoma,18,10,13,28
Hemiptera,Aphididae,Aphis,18,14,12,54
Lepidoptera,Crambidae,Crambus,18,14,16,56
Diptera,Bombyliidae,Lepidophora,17,16,14,57
Lepidoptera,Blastobasidae,Asaphocrita,17,15,14,60
Lepidoptera,Gracillariidae,Caloptilia,17,17,18,100
Lepidoptera,Tortricidae,Cydia,17,11,14,29
Trichoptera,Limnephilidae,Pycnopsyche,17,5,6,15
Diptera,Limoniidae,Antocha,16,9,10,17
Diptera,Limoniidae,Epiphragma,16,10,10,28
Diptera,Limoniidae,Helius,16,8,8,20
Hemiptera,Cicadidae,NA,16,7,7,12
Hymenoptera,Ichneumonidae,NA,16,9,11,16
Lepidoptera,Tortricidae,Epinotia,16,12,12,27
Lepidoptera,Tortricidae,Pandemis,16,14,13,32
Trichoptera,Limnephilidae,Platycentropus,16,15,15,71
Trichoptera,Phryganeidae,Phryganea,16,9,11,41
Diptera,Chironomidae,Polypedilum,15,5,6,18
Diptera,Limoniidae,Cheilotrichia,15,8,8,20
Diptera,Tabanidae,Tabanus,15,11,13,47
Diptera,Tipulidae,NA,15,10,8,17
Lepidoptera,Coleophoridae,Coleophora,15,4,7,14
Lepidoptera,Erebidae,Idia,15,7,8,15
Lepidoptera,Tortricidae,Acleris,15,10,11,21
Araneae,Philodromidae,Philodromus,14,12,14,45
Ephemeroptera,Ephemerellidae,Eurylophella,14,10,8,40
Lepidoptera,Tortricidae,Cenopis,14,10,11,30
Trichoptera,Phryganeidae,Agrypnia,14,7,12,25
Coleoptera,Cerambycidae,Monochamus,13,12,15,45
Diptera,Empididae,NA,13,5,8,14
Diptera,Fanniidae,Fannia,13,9,9,23
Diptera,Simuliidae,Cnephia,13,5,6,24
Hemiptera,Miridae,Phytocoris,13,10,8,20
Hymenoptera,Ichneumonidae,Ophion,13,10,10,15
Lepidoptera,Erebidae,NA,13,6,7,14
Lepidoptera,Tortricidae,NA,13,18,18,110
Trichoptera,Hydropsychidae,Cheumatopsyche,13,6,6,14
Coleoptera,Carabidae,Harpalus,12,8,8,14
Coleoptera,Cerambycidae,Sternidius,12,7,7,11
Coleoptera,Chrysomelidae,Paria,12,15,13,41
Coleoptera,Curculionidae,Dendroctonus,12,9,6,18
Diptera,Chironomidae,Microtendipes,12,10,11,31
Trichoptera,Leptoceridae,Triaenodes,12,9,12,18
Blattodea,Blattidae,Periplaneta,11,12,11,34
Coleoptera,Carabidae,Cymindis,11,10,16,40
Coleoptera,Dytiscidae,Ilybius,11,9,12,21
Coleoptera,Scarabaeidae,NA,11,15,19,104
Lepidoptera,Depressariidae,Machimia,11,7,6,13
Lepidoptera,Tortricidae,Choristoneura,11,10,11,14
Trichoptera,Leptoceridae,Ceraclea,11,9,8,13
Araneae,Araneidae,Araneus,10,13,14,43
Coleoptera,Carabidae,NA,10,7,7,14
Coleoptera,Hydrophilidae,Enochrus,10,3,4,6
Coleoptera,Silphidae,Nicrophorus,10,10,12,20
Diptera,Chironomidae,Ablabesmyia,10,3,6,14
Ephemeroptera,Polymitarcyidae,Ephoron,10,5,5,21
