Box ,Sample ID,Location name,Collection Date,WEEK OF YEAR,status,PlateNumber,
13c,2104,maple hill,7/11/2015,28,in collection box 13c,2104,B6
13c,2260,maple hill,7/11/2015,28,in collection box 13c,2105,
13c,2261,maple hill,7/11/2015,28,in collection box 13c,2107,
13c,2109,maple hill,7/11/2015,28,in collection box 13c,2109,
13c,2262,maple hill,7/11/2015,28,in collection box 13c,2111,
13c,2112,maple hill,7/11/2015,28,in collection box 13c,2112,
13c,2115,maple hill,7/11/2015,28,in collection box 13c,2115,
13c,2117,maple hill,7/11/2015,28,in collection box 13c,2117,
1B,1610,Hopkinton,7/29/2015,31,collection box 1B,may not have been processed,
1B,1622,Hopkinton,7/20/2015,30,collection box 1B,may not have been processed,
1B,1634,Hopkinton,7/13/2015,29,collection box 1B,may not have been processed,
1C,1450,Hopkinton,8/31/2015,36,in collection box 1C,may not have been processed,
1C,1462,Hopkinton,8/31/2015,36,in collection box 1C,may not have been processed,
6,0003,Hopkinton,6/22/2015,26,in collection box,may not have been processed,
6,0007,Hopkinton,6/15/2015,25,in collection box,may not have been processed,
6,0568,Hopkinton,6/29/2015,27,in collection box,may not have been processed,
11A,1520,massabesic,6/28/2015,26,in collection box 11A,Not In Box,
11A,1529,massabesic,6/28/2015,26,in collection box 11A,Not In Box,
11A,1530,massabesic,6/28/2015,26,in collection box 11A,Not In Box,
12A,0251,willard,7/12/2015,28,in collection box 12A,plate1,D12
12A,0253,willard,7/12/2015,28,in collection box 12A,plate1,F11
12A,0257,willard,7/12/2015,28,in collection box 12A,plate1,E6
12A,0259,willard,7/12/2015,28,in collection box 12A,plate1,B6
12A,0260,willard,7/12/2015,28,in collection box 12A,plate1,E12
12A,0469,willard,7/12/2015,28,in collection box 12A,plate1,G11
12A,0470,willard,6/13/2015,24,in collection box,plate1,C5
12A,0471,willard,6/13/2015,24,in collection box,plate1,D4
12A,0472,willard,6/13/2015,24,in collection box,plate1,E4
12A,0484,willard,6/13/2015,24,in collection box,plate1,B3
12A,0485,willard,6/13/2015,24,in collection box,plate1,C4
12A,0486,willard,6/13/2015,24,in collection box,plate1,A6
12A,0490,willard,6/13/2015,24,in collection box,plate1,A3
12A,0491,willard,6/13/2015,24,in collection box,plate1,C3
12A,0496,willard,6/13/2015,24,in collection box,plate1,D9
12A,0497,willard,6/13/2015,24,in collection box,plate1,G5
12A,0501,willard,6/13/2015,24,in collection box,plate1,E9
12A,0502,willard,6/13/2015,24,in collection box,plate1,D5
13a,0409,maple hill,6/13/2015,24,in collection box 13a,plate1,F10
13a,0414,maple hill,6/13/2015,24,in collection box 13a,plate1,D7
13a,0419,maple hill,6/13/2015,24,in collection box 13a,plate1,C9
13b,2083,maple hill,8/22/2015,34,in collection box 13b,plate1,A9
13b,2084,maple hill,8/22/2015,34,in collection box 13b,plate1,A7
13b,2088,maple hill,8/22/2015,34,in collection box 13b,plate1,B9
13b,2089,maple hill,8/22/2015,34,in collection box 13b,plate1,B7
13c,2108,maple hill,7/11/2015,28,in collection box 13c,plate1,H6
13c,2110,maple hill,7/11/2015,28,in collection box 13c,plate1,D11
13c,2116,maple hill,7/11/2015,28,in collection box 13c,plate1,F7
13c,2254,maple hill,8/1/2015,31,in collection box 13c,plate1,G10
13c,2263,maple hill,7/11/2015,28,in collection box 13c,plate1,E11
14a,0359,brown lane,6/13/2015,24,in collection box 14a,plate1,B8
14a,0360,brown lane,6/13/2015,24,in collection box 14a,plate1,C2
14a,0361,brown lane,6/13/2015,24,in collection box 14a,plate1,A8
14a,0362,brown lane,6/13/2015,24,in collection box 14a,plate1,D2
14B,1878,brown lane,8/22/2015,34,in collection box 14B,plate1,G6
14B,1879,brown lane,8/22/2015,34,in collection box 14B,plate1,H11
14B,1880,brown lane,8/22/2015,34,in collection box 14B,plate1,B12
14B,1883,brown lane,8/22/2015,34,in collection box 14B,plate1,F6
14B,1884,brown lane,8/22/2015,34,in collection box 14B,plate1,H9
14B,1885,brown lane,8/22/2015,34,in collection box 14B,plate1,A12
14c,2030,brown lane,7/11/2015,28,in collection box 14C,plate1,C8
14c,2040,brown lane,7/11/2015,28,in collection box 14C,plate1,F2
14c,2046,brown lane,7/11/2015,28,in collection box 14C,plate1,G9
14c,2050,brown lane,7/11/2015,28,in collection box 14C,plate1,E2
1B,1644,Hopkinton,7/6/2015,28,collection box 1B,plate1,E5
1B,1645,Hopkinton,7/6/2015,28,collection box 1B,plate1,F5
1B,1646,Hopkinton,7/6/2015,28,collection box 1B,plate1,A11
1B,1647,Hopkinton,7/6/2015,28,collection box 1B,plate1,B11
1B,1648,Hopkinton,7/6/2015,28,collection box 1B,plate1,C11
1B,1649,Hopkinton,7/6/2015,28,collection box 1B,plate1,C12
2,0242,fox state,7/12/2015,28,in collection box,plate1,F8
2,0264,fox state,7/12/2015,28,in collection box,plate1,A10
2,0269,fox state,7/12/2015,28,in collection box,plate1,E3
2,0270,fox state,7/12/2015,28,in collection box,plate1,D3
2,0522,fox state,6/13/2015,24,in collection box,plate1,H2
2,0550,fox state,6/13/2015,24,in collection box,plate1,C10
2,0560,fox state,6/13/2015,24,in collection box,plate1,B10
2,0565,fox state,6/13/2015,24,in collection box,plate1,G2
6,0021,Hopkinton,6/8/2015,24,in collection box,plate1,D6
6,0022,Hopkinton,6/8/2015,24,in collection box,plate1,C6
6,0023,Hopkinton,6/8/2015,24,in collection box,plate1,G8
6,0024,Hopkinton,6/8/2015,24,in collection box,plate1,H8
6,0025,Hopkinton,6/8/2015,24,in collection box,plate1,D10
6,0026,Hopkinton,6/8/2015,24,in collection box,plate1,E10
99j,1962,willard,8/23/2015,34,in collection box 99j,plate1,F4
99j,1967,willard,8/23/2015,34,in collection box 99j,plate1,A4
99j,1977,willard,8/23/2015,34,in collection box 99j,plate1,B5
99j,1997,willard,8/23/2015,34,in collection box 99j,plate1,H4
99j,2343,willard,8/23/2015,34,in collection box 99j,plate1,A5
99j,2350,fox state,8/23/2015,34,in collection box 99j,plate1,D8
99j,2352,willard,8/23/2015,34,in collection box 99j,plate1,F9
99j,2358,willard,8/23/2015,34,in collection box 99j,plate1,F3
99j,2362,willard,8/23/2015,34,in collection box 99j,plate1,G3
99j,2365,fox state,8/23/2015,34,in collection box 99j,plate1,B2
99j,2368,willard,8/23/2015,34,in collection box 99j,plate1,H10
99j,2372,willard,8/23/2015,34,in collection box 99j,plate1,G4
99j,2375,fox state,8/23/2015,34,in collection box 99j,plate1,E8
99j,2378,willard,8/23/2015,34,in collection box 99j,plate1,B4
99j,2385,fox state,8/23/2015,34,in collection box 99j,plate1,A2
99j,2387,willard,8/23/2015,34,in collection box 99j,plate1,H3
DRO DNA box 1,0542,fox state,8/9/2015,32,"sample destroyed, gDNA in freezer",plate1,G1
DRO DNA box 1,0543,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",plate1,E1
DRO DNA box 1,0553,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",plate1,A1
DRO DNA box 1,0554,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",plate1,F1
DRO DNA box 1,0559,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",plate1,B1
11A,0461,massabesic,6/13/2015,24,in collection box 11A,plate2,B12
11A,0463,massabesic,6/13/2015,24,in collection box 11A,plate2,C12
11A,0464,massabesic,6/13/2015,24,in collection box 11A,plate2,D12
14a,0408,brown lane,6/20/2015,25,in collection box 14a,plate2,A4
14a,0411,brown lane,6/26/2015,26,in collection box 14a,plate2,G3
14a,0418,brown lane,6/20/2015,25,in collection box 14a,plate2,B4
14a,0426,brown lane,6/26/2015,26,in collection box 14a,plate2,F3
14a,0428,brown lane,6/20/2015,25,in collection box 14a,plate2,C4
14a,0452,brown lane,6/26/2015,26,in collection box 14a,plate2,H3
14a,1871,brown lane,7/4/2015,27,in collection box 14a,plate2,E3
14a,1875,brown lane,7/4/2015,27,in collection box 14a,plate2,D3
14a,1876,brown lane,7/4/2015,27,in collection box 14a,plate2,C3
14B,0431,brown lane,8/29/2015,35,in collection box 14B,plate2,B1
14B,0441,brown lane,8/29/2015,35,in collection box 14B,plate2,A1
14B,0446,brown lane,8/29/2015,35,in collection box 14B,plate2,C1
14B,1889,brown lane,8/14/2015,33,in collection box 14B,plate2,E1
14B,1890,brown lane,8/14/2015,33,in collection box 14B,plate2,F1
14B,1899,brown lane,8/8/2015,32,in collection box 14B,plate2,G1
14B,1900,brown lane,8/8/2015,32,in collection box 14B,plate2,A2
14B,1904,brown lane,8/8/2015,32,in collection box 14B,plate2,H1
14B,1908,brown lane,8/14/2015,33,in collection box 14B,plate2,D1
14c,2008,brown lane,8/1/2015,31,in collection box 14C,plate2,B2
14c,2012,brown lane,8/1/2015,31,in collection box 14C,plate2,C2
14c,2017,brown lane,8/1/2015,31,in collection box 14C,plate2,D2
14c,2029,brown lane,7/18/2015,29,in collection box 14C,plate2,B3
14c,2035,brown lane,7/18/2015,29,in collection box 14C,plate2,A3
14c,2039,brown lane,7/18/2015,29,in collection box 14C,plate2,H2
14c,2044,brown lane,7/25/2015,30,in collection box 14C,plate2,G2
14c,2049,brown lane,7/25/2015,30,in collection box 14C,plate2,E2
14c,2053,brown lane,7/25/2015,30,in collection box 14C,plate2,F2
2,1314,fox state,7/19/2015,29,in collection box,plate2,D7
2,1333,fox state,7/19/2015,29,in collection box,plate2,C7
2,1336,fox state,8/9/2015,32,in collection box 2,plate2,H7
2,1363,fox state,8/9/2015,32,in collection box 2,plate2,G7
2,1447,fox state,8/2/2015,31,in collection box 2,plate2,E7
2,1526,fox state,6/29/2015,27,in collection box,plate2,B7
2,1543,fox state,6/29/2015,27,in collection box,plate2,A7
2,1676,fox state,8/2/2015,31,in collection box 2,plate2,F7
2A,1197,wilton,8/24/2015,35,in collection box 2A,plate2,G11
2A,1198,wilton,8/20/2015,34,in collection box 2A,plate2,D11
2A,1211,wilton,8/20/2015,34,in collection box 2A,plate2,E11
2A,1213,wilton,8/24/2015,35,in collection box 2A,plate2,H11
2A,1214,wilton,8/20/2015,34,in collection box 2A,plate2,F11
2A,1216,wilton,8/24/2015,35,in collection box 2A,plate2,A12
2B,0093,wilton,6/22/2015,26,in collection box 2B,plate2,E9
2B,0094,wilton,6/22/2015,26,in collection box 2B,plate2,F9
2B,0095,wilton,6/22/2015,26,in collection box 2B,plate2,G9
2B,1106,wilton,6/15/2015,25,in collection box 2B,plate2,B9
2B,1110,wilton,6/15/2015,25,in collection box 2B,plate2,C9
2B,1118,wilton,6/15/2015,25,in collection box 2B,plate2,D9
5A,2005,Cornish,8/21/2015,34,in collection box 5A,plate2,F6
5A,2121,Cornish,8/1/2015,31,in collection box 5A,plate2,H5
5A,2122,Cornish,8/21/2015,34,in collection box 5A,plate2,G6
5A,2131,Cornish,8/1/2015,31,in collection box 5A,plate2,A6
5A,2132,Cornish,8/21/2015,34,in collection box 5A,plate2,H6
5A,2135,Cornish,8/16/2015,33,in collection box 5A,plate2,E6
5A,2141,Cornish,8/1/2015,31,in collection box 5A,plate2,B6
5A,2145,Cornish,8/16/2015,33,in collection box 5A,plate2,D6
5A,2154,Cornish,8/16/2015,33,in collection box 5A,plate2,C6
5B,1961,Cornish,7/12/2015,28,in collection box 5B,plate2,B5
5B,1964,Cornish,7/26/2015,30,in collection box 5B,plate2,E5
5B,1965,Cornish,7/12/2015,28,in collection box 5B,plate2,D5
5B,1966,Cornish,7/3/2015,27,in collection box 5B,plate2,H4
5B,1970,Cornish,7/12/2015,28,in collection box 5B,plate2,C5
5B,1974,Cornish,7/26/2015,30,in collection box 5B,plate2,F5
5B,1976,Cornish,7/3/2015,27,in collection box 5B,plate2,G4
5B,1981,Cornish,6/26/2015,26,in collection box 5B,plate2,F4
5B,1984,Cornish,7/26/2015,30,in collection box 5B,plate2,G5
5B,1991,Cornish,6/26/2015,26,in collection box 5B,plate2,E4
5B,2000,Cornish,7/3/2015,27,in collection box 5B,plate2,A5
