SampleID,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Site,Date,WOY,HostSpecies
bri160082,SB702,SA508,1.2,bri16,28,H02,sample,ACA,7/7/2016,28,MYLE
bri160083,SB703,SA508,1.2,bri16,28,H03,sample,ACA,7/12/2016,29,EPFU
bri160084,SB704,SA508,1.2,bri16,28,H04,sample,ACA,7/12/2016,29,MYSE
bri160085,SB705,SA508,1.2,bri16,28,H05,sample,ACA,7/17/2016,29,MYLE
bri160086,SB706,SA508,1.2,bri16,28,H06,sample,ACA,7/17/2016,29,MYLE
bri160087,SB707,SA508,1.2,bri16,28,H07,sample,ACA,7/17/2016,29,MYLE
bri160088,SB709,SA508,1.2,bri16,28,H09,sample,ACA,7/18/2016,30,MYLE
bri160089,SB710,SA508,1.2,bri16,28,H10,sample,ACA,7/18/2016,30,MYLE
bri160090,SB711,SA508,1.2,bri16,28,H11,sample,ACA,7/18/2016,30,MYLE
bri160091,SB712,SA508,1.2,bri16,28,H12,sample,ACA,7/18/2016,30,MYLE
bri160092,SB702,SC501,5.2,bri16,29,A02,sample,ACA,7/18/2016,30,NA
bri160094,SB704,SC501,5.2,bri16,29,A04,sample,ACA,7/19/2016,30,NA
bri160138,SA705,SC506,7.2,bri16,39,F05,sample,ACA,06/18/16,25,MYSE
bri160139,SA707,SA506,7.2,bri16,37,F07,sample,ACA,06/18/16,25,EPFU
bri160141,SA702,SA501,7.1,bri16,30,A02,sample,ACA,7/9/16,35,MYLE
bri160142,SA704,SC506,7.2,bri16,39,F04,sample,ACA,06/15/16,25,MYLE
bri160143,SA703,SC506,7.2,bri16,39,F03,sample,ACA,06/15/16,25,MYSE
bri160145,SA707,SC505,7.2,bri16,39,E07,sample,ACA,06/9/16,24,MYLE
bri160148,SA702,SC506,7.2,bri16,39,F02,sample,ACA,06/10/16,24,MYLE
bri160149,SA701,SC506,7.2,bri16,39,F01,sample,ACA,06/10/16,24,MYLE
bri160151,SA711,SC505,7.2,bri16,39,E11,sample,ACA,06/9/16,24,MYLE
bri160152,SA710,SC505,7.2,bri16,39,E10,sample,ACA,06/9/16,24,MYLE
bri160153,SA709,SC505,7.2,bri16,39,E09,sample,ACA,06/9/16,24,MYLE
bri160154,SA708,SC505,7.2,bri16,39,E08,sample,ACA,06/9/16,24,MYLE
bri160155,SA706,SC505,7.2,bri16,39,E06,sample,ACA,06/9/16,24,MYLE
bri160156,SA704,SC505,7.2,bri16,39,E04,sample,ACA,06/9/16,24,MYLE
bri160157,SA702,SC505,7.2,bri16,39,E02,sample,ACA,06/9/16,24,MYLE
bri160158,SA703,SC505,7.2,bri16,39,E03,sample,ACA,06/9/16,24,MYLE
bri160159,SA701,SC505,7.2,bri16,39,E01,sample,ACA,06/8/16,24,MYLU
bri160161,SA710,SA506,7.2,bri16,37,F10,sample,YRK,5/27/16,22,MYSE
bri160162,SA709,SA506,7.2,bri16,37,F09,sample,YRK,5/27/16,22,NYHU
bri160163,SB709,SA507,1.2,bri16,28,G09,sample,VRA,5/30/2016,23,LABO
bri160164,SA711,SA503,1.2,bri16,25,C11,sample,ELY,6/6/16,24,MYLE
bri160165,SA712,SA503,1.2,bri16,25,C12,sample,ELY,6/7/16,24,MYSE
bri160166,SA701,SA504,1.2,bri16,25,D01,sample,ELY,6/15/16,25,EPFU
bri160167,SA702,SA504,1.2,bri16,25,D02,sample,ELY,6/15/16,25,EPFU
bri160169,SA703,SA504,1.2,bri16,25,D03,sample,ELY,6/17/16,25,MYLE
bri160170,SA706,SA504,1.2,bri16,25,D06,sample,SRY,6/27/16,27,EPFU
bri160171,SA707,SA504,1.2,bri16,25,D07,sample,SRY,6/28/16,27,EPFU
bri160172,SA708,SA504,1.2,bri16,25,D08,sample,SRY,6/28/16,27,EPFU
bri160173,SA709,SA504,1.2,bri16,25,D09,sample,SRY,6/29/16,27,MYSE
bri160174,SA710,SA504,1.2,bri16,25,D10,sample,SRY,6/30/16,27,EPFU
bri160175,SA711,SA504,1.2,bri16,25,D11,sample,SRY,7/2/16,27,LABO
bri160176,SA712,SA504,1.2,bri16,25,D12,sample,SRY,7/2/16,27,LABO
bri160177,SA701,SA505,1.2,bri16,25,E01,sample,SRY,7/2/16,27,EPFU
bri160178,SA702,SA505,1.2,bri16,25,E02,sample,SRY,7/2/16,27,EPFU
bri160179,SA703,SA505,1.2,bri16,25,E03,sample,SRY,7/2/16,27,EPFU
bri160180,SA704,SA505,1.2,bri16,25,E04,sample,SRY,7/2/16,27,EPFU
