Site,Lat,Lon
ALS,43.134867,-72.327917
BRN,42.731521,-71.605841
CHI,43.25528,-71.37638
CNA,43.352482,-71.581153
CNB,43.356204,-71.490022
COR,43.517868,72.384631
EPS,43.206489,-71.364058
FAR,44.658526,-69.703247
FOX,43.137939,-71.912814
GIL,43.029237,-72.290639
GRN,42.933521,-71.871152
HOL,43.7348,-71.59076
HOP,43.155838,-71.727587
JRS,44.33018,-68.25963
MAP,42.722480,-71.606722
MAS,42.984078,-71.364988
MTV,42.873336,-71.6843
PEN,43.28195,-71.59404
ROL,43.228134,-70.832969
SWZ,42.845757,-72.252827
VRA,37.29007,-76.61401
WLD,43.015987,-72.019994
WLT,42.812914,-71.752329
