"Site","SampleID","SeqBatch","StudyID","SampleType","Date","WOY","SiteLat","SiteLong","newDate","dayLength"
"ALS","oro163497",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163500",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163501",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163502",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163498",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163504",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163506",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163507",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163508",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163509",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163510",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163511",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163512",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163513",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163514",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163515",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163516",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163503",7.1,"oro16","sample","9/7/16",37,43.134867,-72.327917,2016-09-07,12.908985486159
"ALS","oro163518",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163519",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163522",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163524",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163525",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163526",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163527",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163528",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163529",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163530",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163531",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163533",7.1,"oro16","sample","9/21/16",39,43.134867,-72.327917,2016-09-21,12.2326966141929
"ALS","oro163517",7.1,"oro16","sample","9/14/16",38,43.134867,-72.327917,2016-09-14,12.5723522501808
"ALS","oro163489",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163490",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163491",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163492",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163493",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163494",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163495",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163496",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"ALS","oro163390",7.1,"oro16","sample","7/1/16",27,43.134867,-72.327917,2016-07-01,15.3234016488943
"ALS","oro163391",7.1,"oro16","sample","7/1/16",27,43.134867,-72.327917,2016-07-01,15.3234016488943
"ALS","oro163392",7.1,"oro16","sample","7/1/16",27,43.134867,-72.327917,2016-07-01,15.3234016488943
"ALS","oro163393",7.1,"oro16","sample","7/1/16",27,43.134867,-72.327917,2016-07-01,15.3234016488943
"ALS","oro163395",7.1,"oro16","sample","7/1/16",27,43.134867,-72.327917,2016-07-01,15.3234016488943
"ALS","oro163396",7.1,"oro16","sample","7/5/16",28,43.134867,-72.327917,2016-07-05,15.2699745354485
"ALS","oro163397",7.1,"oro16","sample","7/5/16",28,43.134867,-72.327917,2016-07-05,15.2699745354485
"ALS","oro163398",7.1,"oro16","sample","7/5/16",28,43.134867,-72.327917,2016-07-05,15.2699745354485
"ALS","oro163399",7.1,"oro16","sample","7/5/16",28,43.134867,-72.327917,2016-07-05,15.2699745354485
"ALS","oro163401",7.1,"oro16","sample","7/5/16",28,43.134867,-72.327917,2016-07-05,15.2699745354485
"ALS","oro163402",7.1,"oro16","sample","7/7/16",28,43.134867,-72.327917,2016-07-07,15.2369865093021
"ALS","oro163403",7.1,"oro16","sample","7/7/16",28,43.134867,-72.327917,2016-07-07,15.2369865093021
"ALS","oro163406",7.1,"oro16","sample","7/7/16",28,43.134867,-72.327917,2016-07-07,15.2369865093021
"ALS","oro163409",7.1,"oro16","sample","7/14/16",29,43.134867,-72.327917,2016-07-14,15.0905910760486
"ALS","oro163410",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163412",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163413",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163414",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163415",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163416",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163417",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163420",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163421",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163423",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163424",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163425",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163426",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163427",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163428",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163430",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163432",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163433",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163434",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163435",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163436",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163437",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163438",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163439",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163440",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163442",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163443",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163445",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163446",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163447",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163448",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163449",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163453",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163455",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163457",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163458",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163459",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163460",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163461",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163462",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163464",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163465",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163467",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163468",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163469",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163470",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163471",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163472",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163473",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163475",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163479",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163480",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163481",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163482",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163483",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
