#SampleID	Library	StudyID	DNAplate	DNAwell	SampleType	Site	Date	WOY
mockIM4p4L1	4.1	mock			mock			
mockIM4p4L2	4.2	mock			mock			
mockIM4p5L1	5.1	mock			mock			
mockIM4p5L2	5.2	mock			mock			
mockIM4p7L1	7.1	mock			mock			
mockIM4p7L2	7.2	mock			mock			
mockp1L2a	1.2	mock			mock			
mockp1L2b	1.2	mock			mock			
mockp3L1	3.1	mock			mock			
mockp3L2	3.2	mock			mock			
negcpr17G07	5.1	ncontrol	17	G07	ncontrol			
negcpr18A01	5.1	ncontrol	18	A01	ncontrol			
negoro01B02	1.2	ncontrol	1	B02	ncontrol			
negoro01C03	1.2	ncontrol	1	C03	ncontrol			
negoro01D05	1.2	ncontrol	1	D05	ncontrol			
negoro01E05	1.2	ncontrol	1	E05	ncontrol			
negoro01F06	1.2	ncontrol	1	F06	ncontrol			
negoro02C03	1.2	ncontrol	2	C03	ncontrol			
negoro02D04	1.2	ncontrol	2	D04	ncontrol			
negoro02E05	1.2	ncontrol	2	E05	ncontrol			
negoro02F06	1.2	ncontrol	2	F06	ncontrol			
negoro02G07	1.2	ncontrol	2	G07	ncontrol			
negoro02H08	1.2	ncontrol	2	H08	ncontrol			
negoro05A01	4.1	ncontrol	5	A01	ncontrol			
negoro05B03	4.1	ncontrol	5	B03	ncontrol			
negoro05C03	4.1	ncontrol	5	C03	ncontrol			
negoro05D04	4.1	ncontrol	5	D04	ncontrol			
negoro05E05	4.1	ncontrol	5	E05	ncontrol			
negoro05F06	4.1	ncontrol	5	F06	ncontrol			
negoro05G07	4.1	ncontrol	5	G07	ncontrol			
negoro05H08	4.1	ncontrol	5	H08	ncontrol			
negoro06B02	4.1	ncontrol	6	B02	ncontrol			
negoro06C03	4.1	ncontrol	6	C03	ncontrol			
negoro06D04	4.1	ncontrol	6	D04	ncontrol			
negoro06E05	4.1	ncontrol	6	E05	ncontrol			
negoro06F06	4.1	ncontrol	6	F06	ncontrol			
negoro06G07	4.1	ncontrol	6	G07	ncontrol			
negoro06H07	4.1	ncontrol	6	H07	ncontrol			
negoro07A01	4.1	ncontrol	7	A01	ncontrol			
negoro07C03	4.1	ncontrol	7	C03	ncontrol			
negoro07D04	4.1	ncontrol	7	D04	ncontrol			
negoro07E05	4.1	ncontrol	7	E05	ncontrol			
negoro07F06	4.1	ncontrol	7	F06	ncontrol			
negoro07G07	4.1	ncontrol	7	G07	ncontrol			
negoro07H08	4.1	ncontrol	7	H08	ncontrol			
negoro08B02	4.1	ncontrol	8	B02	ncontrol			
negoro08D04	4.1	ncontrol	8	D04	ncontrol			
negoro08F06	4.1	ncontrol	8	F06	ncontrol			
negoro08G07	4.1	ncontrol	8	G07	ncontrol			
negoro08H08	4.1	ncontrol	8	H08	ncontrol			
negoro08H11	4.1	ncontrol	8	H11	ncontrol			
negoro09A01	4.1	ncontrol	9	A01	ncontrol			
negoro09C03	4.1	ncontrol	9	C03	ncontrol			
negoro09D04	4.1	ncontrol	9	D04	ncontrol			
negoro09E05	4.1	ncontrol	9	E05	ncontrol			
negoro09F06	4.1	ncontrol	9	F06	ncontrol			
negoro09G07	4.1	ncontrol	9	G07	ncontrol			
negoro09H08	4.1	ncontrol	9	H08	ncontrol			
negoro10B02	4.1	ncontrol	10	B02	ncontrol			
negoro10D04	4.1	ncontrol	10	D04	ncontrol			
negoro10E05	4.1	ncontrol	10	E05	ncontrol			
negoro10F06	4.1	ncontrol	10	F06	ncontrol			
negoro10G07	4.1	ncontrol	10	G07	ncontrol			
negoro10H08	4.1	ncontrol	10	H08	ncontrol			
negoro12B02	4.2	ncontrol	12	B02	ncontrol			
negoro12C03	4.2	ncontrol	12	C03	ncontrol			
negoro12D04	4.2	ncontrol	12	D04	ncontrol			
negoro12E05	4.2	ncontrol	12	E05	ncontrol			
negoro12F06	4.2	ncontrol	12	F06	ncontrol			
negoro12G07	4.2	ncontrol	12	G07	ncontrol			
negoro12H08	4.2	ncontrol	12	H08	ncontrol			
negoro13A01	4.2	ncontrol	13	A01	ncontrol			
negoro13B02	4.2	ncontrol	13	B02	ncontrol			
negoro13C03	4.2	ncontrol	13	C03	ncontrol			
negoro13D04	4.2	ncontrol	13	D04	ncontrol			
negoro13E05	4.2	ncontrol	13	E05	ncontrol			
negoro13F06	4.2	ncontrol	13	F06	ncontrol			
negoro13G07	4.2	ncontrol	13	G07	ncontrol			
negoro14B02	4.2	ncontrol	14	B02	ncontrol			
negoro14C03	4.2	ncontrol	14	C03	ncontrol			
negoro14D04	4.2	ncontrol	14	D04	ncontrol			
negoro14E05	4.2	ncontrol	14	E05	ncontrol			
negoro14F06	4.2	ncontrol	14	F06	ncontrol			
negoro14G07	4.2	ncontrol	14	G07	ncontrol			
negoro14H08	4.2	ncontrol	14	H08	ncontrol			
negoro1507D12	3.2	ncontrol	7	D12	ncontrol			
negoro15A01	4.2	ncontrol	15	A01	ncontrol			
negoro15B02	4.2	ncontrol	15	B02	ncontrol			
negoro15C03	4.2	ncontrol	15	C03	ncontrol			
negoro15D04	4.2	ncontrol	15	D04	ncontrol			
negoro15E05	4.2	ncontrol	15	E05	ncontrol			
negoro15F06	4.2	ncontrol	15	F06	ncontrol			
negoro15G07	4.2	ncontrol	15	G07	ncontrol			
negoro15H08	4.2	ncontrol	15	H08	ncontrol			
negoro1629A01	5.2	ncontrol	29	A01	ncontrol			
negoro1629B02	5.2	ncontrol	29	B02	ncontrol			
negoro1629C03	5.2	ncontrol	29	C03	ncontrol			
negoro1629D04	5.2	ncontrol	29	D04	ncontrol			
negoro1629E05	5.2	ncontrol	29	E05	ncontrol			
negoro1629G07	5.2	ncontrol	29	G07	ncontrol			
negoro1629H08	5.2	ncontrol	29	H08	ncontrol			
negoro16B02	4.2	ncontrol	16	B02	ncontrol			
negoro16C03	4.2	ncontrol	16	C03	ncontrol			
negoro16D04	4.2	ncontrol	16	D04	ncontrol			
negoro16E05	4.2	ncontrol	16	E05	ncontrol			
negoro16F06	4.2	ncontrol	16	F06	ncontrol			
negoro17A01	5.1	ncontrol	17	A01	ncontrol			
negoro17B02	5.1	ncontrol	17	B02	ncontrol			
negoro17C03	5.1	ncontrol	17	C03	ncontrol			
negoro18B02	5.1	ncontrol	18	B02	ncontrol			
negoro18C03	5.1	ncontrol	18	C03	ncontrol			
negoro18E05	5.1	ncontrol	18	E05	ncontrol			
negoro18F06	5.1	ncontrol	18	F06	ncontrol			
negoro18G07	5.1	ncontrol	18	G07	ncontrol			
negoro18H08	5.1	ncontrol	18	H08	ncontrol			
negoro19A01	5.2	ncontrol	19	A01	ncontrol			
negoro19B02	5.2	ncontrol	19	B02	ncontrol			
negoro19D04	5.2	ncontrol	19	D04	ncontrol			
negoro19E05	5.2	ncontrol	19	E05	ncontrol			
negoro19F06	5.2	ncontrol	19	F06	ncontrol			
negoro19G07	5.2	ncontrol	19	G07	ncontrol			
negoro19H08	5.2	ncontrol	19	H08	ncontrol			
negoro20B02	5.1	ncontrol	20	B02	ncontrol			
negoro20C03	5.1	ncontrol	20	C03	ncontrol			
negoro20D04	5.1	ncontrol	20	D04	ncontrol			
negoro20E05	5.1	ncontrol	20	E05	ncontrol			
negoro20F06	5.1	ncontrol	20	F06	ncontrol			
negoro20G07	5.1	ncontrol	20	G07	ncontrol			
negoro21A01	5.1	ncontrol	21	A01	ncontrol			
negoro21B02	5.1	ncontrol	21	B02	ncontrol			
negoro21D04	5.1	ncontrol	21	D04	ncontrol			
negoro21E05	5.1	ncontrol	21	E05	ncontrol			
negoro21F06	5.1	ncontrol	21	F06	ncontrol			
negoro21G07	5.1	ncontrol	21	G07	ncontrol			
negoro21H08	5.1	ncontrol	21	H08	ncontrol			
negoro22D04	5.1	ncontrol	22	D04	ncontrol			
negoro22F06	5.1	ncontrol	22	F06	ncontrol			
negoro22G07	5.1	ncontrol	22	G07	ncontrol			
negoro23A01	5.2	ncontrol	23	A01	ncontrol			
negoro23B02	5.2	ncontrol	23	B02	ncontrol			
negoro23C03	5.2	ncontrol	23	C03	ncontrol			
negoro23F06	5.2	ncontrol	23	F06	ncontrol			
negoro23G07	5.2	ncontrol	23	G07	ncontrol			
negoro23H08	5.2	ncontrol	23	H08	ncontrol			
negoro24A01	5.2	ncontrol	24	A01	ncontrol			
negoro24B02	5.2	ncontrol	24	B02	ncontrol			
negoro24C03	5.2	ncontrol	24	C03	ncontrol			
negoro24D04	5.2	ncontrol	24	D04	ncontrol			
negoro24E05	5.2	ncontrol	24	E05	ncontrol			
negoro24F06	5.2	ncontrol	24	F06	ncontrol			
negoro24G07	5.2	ncontrol	24	G07	ncontrol			
negoro24H08	5.2	ncontrol	24	H08	ncontrol			
negoro30B02	7.1	ncontrol	30	B02	ncontrol			
negoro30D04	7.1	ncontrol	30	D04	ncontrol			
negoro30E05	7.1	ncontrol	30	E05	ncontrol			
negoro30G07	7.1	ncontrol	30	G07	ncontrol			
negoro31A01	7.1	ncontrol	31	A01	ncontrol			
negoro31B02	7.1	ncontrol	31	B02	ncontrol			
negoro31D04	7.1	ncontrol	31	D04	ncontrol			
negoro31G07	7.1	ncontrol	31	G07	ncontrol			
negoro32A01	7.1	ncontrol	32	A01	ncontrol			
negoro32B02	7.1	ncontrol	32	B02	ncontrol			
negoro32D04	7.1	ncontrol	32	D04	ncontrol			
negoro32E05	7.1	ncontrol	32	E05	ncontrol			
negoro32F06	7.1	ncontrol	32	F06	ncontrol			
negoro33B02	7.1	ncontrol	33	B02	ncontrol			
negoro33C03	7.1	ncontrol	33	C03	ncontrol			
negoro33D04	7.1	ncontrol	33	D04	ncontrol			
negoro33E05	7.1	ncontrol	33	E05	ncontrol			
negoro33F06	7.1	ncontrol	33	F06	ncontrol			
negoro33G07	7.1	ncontrol	33	G07	ncontrol			
negoro34A01	7.1	ncontrol	34	A01	ncontrol			
negoro34B02	7.1	ncontrol	34	B02	ncontrol			
negoro34D04	7.1	ncontrol	34	D04	ncontrol			
negoro34E05	7.1	ncontrol	34	E05	ncontrol			
negoro34F06	7.1	ncontrol	34	F06	ncontrol			
negoro34G07	7.1	ncontrol	34	G07	ncontrol			
negoro34H08	7.1	ncontrol	34	H08	ncontrol			
negoro35A01	7.1	ncontrol	35	A01	contaminant			
negoro35D03	7.1	ncontrol	35	D03	ncontrol			
negoro35D04	7.1	ncontrol	35	D04	ncontrol			
negoro35F06	7.1	ncontrol	35	F06	ncontrol			
negoro38A01	7.2	ncontrol	38	A01	ncontrol			
