Site,SiteLat,SiteLong,Easting,Northing,UTM
ALS,43.134867,-72.327917,717325.37,4779257.88,18T
BRN,42.731521,-71.605841,286673.84,4734294.32,19T
CHI,43.25528,-71.37638,307105.53,4791905.8,19T
CNA,43.352482,-71.581153,290816.9,4803194.25,19T
CNB,43.356204,-71.490022,298215,4803383.1,19T
COR,43.517868,-72.384631,711379.3,4821648.95,18T
EPS,43.206489,-71.364058,307952.54,4786458.76,19T
FOX,43.137939,-71.912814,263106.34,4780252.04,19T
GIL,43.029237,-72.290639,720736.6,4767624.21,18T
GRN,42.933521,-71.871152,265717.77,4757432.6,19T
HOL,43.7348,-71.59076,291361.91,4845680.47,19T
HOP,43.155838,-71.727587,278236.04,4781732.46,19T
MAP,42.722480,-71.606722,286570.7,4733292.53,19T
MAS,42.984078,-71.364988,307180.02,4761760.69,19T
MTV,42.873336,-71.6843,280752.17,4750244.81,19T
PEN,43.28195,-71.59404,289528.99,4795393.28,19T
ROL,43.228134,-70.832969,351150.03,4787780.21,19T
SWZ,42.845757,-72.252827,724483.42,4747347.76,18T
WLD,43.015987,-72.019994,742840.14,4766900.38,18T
WLT,42.812914,-71.752329,274976.03,4743714.14,19T
