"SampleID","Site","SeqBatch","StudyID","SampleType","Date","WOY","SiteLat","SiteLong","newDate","dayLength","DOY","DayRange","Window","DateWindowStart","DateWindowEnd"
"oro162084","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162188","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162087","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162190","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162185","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162187","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162227","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162195","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162186","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162191","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162193","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162194","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162226","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162088","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162230","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162222","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162098","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162225","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162220","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162092","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162189","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162094","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162231","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162085","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162086","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162228","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162099","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162184","FOX",4.1,"oro16","sample","4/14/16",16,43.137939,-71.912814,2016-04-14,13.3567593979462,105,"[98,108]",1,2016-04-07,2016-04-17
"oro162089","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162090","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162091","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162104","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162105","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162093","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162107","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162095","HOP",1.2,"oro16","sample","4/10/16",15,43.155838,-71.727587,2016-04-10,13.1677075786491,101,"[98,108]",1,2016-04-07,2016-04-17
"oro162096","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162097","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162102","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162229","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162100","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162101","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162106","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162103","HOP",1.2,"oro16","sample","4/16/16",16,43.155838,-71.727587,2016-04-16,13.4514144888314,107,"[98,108]",1,2016-04-07,2016-04-17
"oro162221","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro162224","FOX",4.1,"oro16","sample","4/7/16",15,43.137939,-71.912814,2016-04-07,13.0231045197564,98,"[98,108]",1,2016-04-07,2016-04-17
"oro161295","EPS",1.2,"oro16","sample","4/24/16",17,43.206489,-71.364058,2016-04-24,13.8208818278661,115,"(108,118]",2,2016-04-17,2016-04-27
"oro162205","FOX",4.1,"oro16","sample","4/22/16",17,43.137939,-71.912814,2016-04-22,13.7266511478193,113,"(108,118]",2,2016-04-17,2016-04-27
