SampleID	Window	Site	newDate
oro160001	window_4	HOP	2016-05-06
oro160004	window_4	HOP	2016-05-06
oro160010	window_4	HOP	2016-05-06
oro160061	window_5	HOP	2016-06-13
oro160063	window_5	HOP	2016-06-13
oro160068	window_5	HOP	2016-06-13
oro160070	window_5	HOP	2016-06-13
oro160073	window_5	HOP	2016-06-19
oro160074	window_5	HOP	2016-06-19
oro160076	window_5	HOP	2016-06-19
oro160077	window_5	HOP	2016-06-19
oro160085	window_5	HOP	2016-06-27
oro160086	window_5	HOP	2016-06-27
oro160087	window_5	HOP	2016-06-27
oro160093	window_5	HOP	2016-06-27
oro160103	window_4	CNA	2016-05-20
oro160106	window_4	CNA	2016-05-20
oro160117	window_4	CNA	2016-05-19
oro160118	window_4	CNA	2016-05-19
oro160119	window_4	CNA	2016-05-21
oro160124	window_4	CNA	2016-05-20
oro160126	window_4	CNA	2016-05-20
oro160128	window_5	CNA	2016-05-29
oro160130	window_4	CNA	2016-05-24
oro160131	window_4	CNA	2016-05-22
oro160132	window_4	CNA	2016-05-21
oro160133	window_4	CNA	2016-05-22
oro160134	window_4	CNA	2016-05-23
oro160136	window_4	CNA	2016-05-26
oro160137	window_4	CNA	2016-05-25
oro160138	window_4	CNA	2016-05-28
oro160139	window_5	CNA	2016-05-29
oro160142	window_5	CNA	2016-06-02
oro160147	window_5	CNA	2016-06-30
oro160157	window_5	CNA	2016-06-11
oro160164	window_5	CNA	2016-06-06
oro160166	window_5	CNA	2016-06-05
oro160169	window_5	CNA	2016-06-10
oro160170	window_5	CNA	2016-06-10
oro160172	window_5	CNA	2016-06-09
oro160184	window_5	CNA	2016-06-24
oro160185	window_5	CNA	2016-06-25
oro160191	window_5	CNA	2016-06-27
oro160195	window_6	CNA	2016-07-07
oro160206	window_6	CNA	2016-07-12
oro160207	window_6	CNA	2016-07-13
oro160209	window_6	CNA	2016-07-20
oro160210	window_6	CNA	2016-07-20
oro160211	window_6	CNA	2016-07-21
oro160213	window_6	CNA	2016-07-21
oro160218	window_6	CNA	2016-07-23
oro160220	window_6	CNA	2016-07-23
oro160396	window_4	MAP	2016-04-29
oro160397	window_4	MAP	2016-04-29
oro160398	window_4	MAP	2016-04-29
oro160400	window_4	MAP	2016-04-29
oro160401	window_4	MAP	2016-04-29
oro160403	window_4	MAP	2016-04-29
oro160405	window_4	MAP	2016-04-29
oro160406	window_4	MAP	2016-04-29
oro160536	window_4	MAP	2016-04-22
oro160543	window_4	MAP	2016-04-22
oro160545	window_4	MAP	2016-04-22
oro160559	window_4	MAP	2016-05-09
oro160561	window_4	MAP	2016-05-09
oro160562	window_4	MAP	2016-05-09
oro160564	window_4	MAP	2016-05-09
oro160565	window_4	MAP	2016-05-09
oro160566	window_4	MAP	2016-05-09
oro160567	window_4	MAP	2016-05-09
oro160568	window_4	MAP	2016-05-09
oro160575	window_4	MAP	2016-05-15
oro160577	window_4	MAP	2016-05-15
oro160578	window_4	MAP	2016-05-15
oro160579	window_4	MAP	2016-05-15
oro160580	window_4	MAP	2016-05-15
oro160581	window_4	MAP	2016-05-15
oro160584	window_4	MAP	2016-05-20
oro160592	window_4	MAP	2016-05-20
oro160593	window_4	MAP	2016-05-20
oro160595	window_4	MAP	2016-05-20
oro160596	window_4	MAP	2016-05-26
oro160597	window_4	MAP	2016-05-26
oro160599	window_4	MAP	2016-05-26
oro160600	window_4	MAP	2016-05-26
oro160604	window_4	MAP	2016-05-26
oro160605	window_4	MAP	2016-05-26
oro160607	window_4	MAP	2016-05-26
oro160608	window_5	MAP	2016-06-04
oro160609	window_5	MAP	2016-06-04
oro160610	window_5	MAP	2016-06-04
oro160611	window_5	MAP	2016-06-04
oro160612	window_5	MAP	2016-06-04
oro160613	window_5	MAP	2016-06-04
oro160618	window_5	MAP	2016-06-04
oro160626	window_5	MAP	2016-06-10
oro160629	window_5	MAP	2016-06-10
oro160636	window_5	MAP	2016-06-18
oro160641	window_5	MAP	2016-06-18
oro160643	window_5	MAP	2016-06-18
oro160646	window_5	MAP	2016-06-25
oro160647	window_5	MAP	2016-06-25
oro160650	window_5	MAP	2016-06-25
oro160661	window_5	MAP	2016-07-03
oro160663	window_5	MAP	2016-07-03
oro160664	window_5	MAP	2016-07-03
oro160671	window_6	MAP	2016-07-09
oro160672	window_6	MAP	2016-07-09
oro160674	window_6	MAP	2016-07-09
oro160675	window_6	MAP	2016-07-09
oro160677	window_6	MAP	2016-07-09
oro160679	window_6	MAP	2016-07-09
oro160680	window_6	MAP	2016-07-09
oro160681	window_6	MAP	2016-07-09
oro161134	window_4	PEN	2016-05-26
oro161135	window_4	PEN	2016-05-26
oro161136	window_4	PEN	2016-05-26
oro161139	window_4	PEN	2016-05-26
oro161140	window_4	PEN	2016-05-26
oro161141	window_4	PEN	2016-05-26
oro161142	window_4	PEN	2016-05-26
oro161143	window_4	PEN	2016-05-26
oro161144	window_4	PEN	2016-05-26
oro161146	window_5	PEN	2016-06-03
oro161148	window_5	PEN	2016-06-03
oro161149	window_5	PEN	2016-06-03
oro161150	window_5	PEN	2016-06-03
oro161151	window_5	PEN	2016-06-03
oro161153	window_5	PEN	2016-06-03
oro161154	window_5	PEN	2016-06-03
oro161155	window_5	PEN	2016-06-03
oro161156	window_5	PEN	2016-06-03
oro161157	window_5	PEN	2016-06-03
oro161159	window_5	PEN	2016-06-09
oro161161	window_5	PEN	2016-06-09
oro161164	window_5	PEN	2016-06-09
oro161165	window_5	PEN	2016-06-09
oro161166	window_5	PEN	2016-06-09
oro161167	window_5	PEN	2016-06-09
oro161168	window_5	PEN	2016-06-09
oro161169	window_5	PEN	2016-06-09
oro161170	window_5	PEN	2016-06-17
oro161174	window_5	PEN	2016-06-17
oro161179	window_5	PEN	2016-06-17
oro161180	window_5	PEN	2016-06-17
oro161186	window_5	PEN	2016-06-23
oro161188	window_5	PEN	2016-06-23
oro161216	window_6	PEN	2016-07-07
oro161221	window_6	PEN	2016-07-15
oro161239	window_6	PEN	2016-07-23
oro161244	window_6	PEN	2016-07-28
oro161248	window_6	PEN	2016-07-28
oro161249	window_6	PEN	2016-07-28
oro161286	window_4	EPS	2016-04-24
