SampleID	Window	Site	newDate
oro161466	window_5	CNB	2016-06-03
oro161486	window_5	CNB	2016-06-18
oro161488	window_5	CNB	2016-06-18
oro161490	window_5	CNB	2016-06-18
oro161491	window_5	CNB	2016-06-18
oro161492	window_5	CNB	2016-06-18
oro161494	window_5	CNB	2016-06-18
oro161495	window_5	CNB	2016-06-18
oro161496	window_5	CNB	2016-06-26
oro161497	window_5	CNB	2016-06-26
oro161500	window_5	CNB	2016-06-26
oro161501	window_5	CNB	2016-06-26
oro161506	window_5	CNB	2016-06-26
oro161509	window_5	CNB	2016-07-03
oro161511	window_5	CNB	2016-07-03
oro161514	window_5	CNB	2016-07-03
oro161515	window_5	CNB	2016-07-03
oro161525	window_6	CNB	2016-07-13
oro161527	window_6	CNB	2016-07-13
oro161809	window_5	CHI	2016-06-24
oro161815	window_5	CHI	2016-06-24
oro161817	window_5	CHI	2016-06-24
oro161818	window_5	CHI	2016-06-24
oro161820	window_5	CHI	2016-07-01
oro161821	window_5	CHI	2016-07-01
oro161826	window_5	CHI	2016-07-01
oro161827	window_5	CHI	2016-07-01
oro161828	window_5	CHI	2016-07-01
oro161829	window_5	CHI	2016-07-01
oro161830	window_5	CHI	2016-07-01
oro161831	window_5	CHI	2016-07-01
oro161859	window_6	CHI	2016-07-19
oro161861	window_6	CHI	2016-07-19
oro161866	window_6	CHI	2016-07-19
oro161881	window_6	CHI	2016-08-01
oro161883	window_6	CHI	2016-08-01
oro162271	window_5	FOX	2016-06-02
oro162273	window_5	FOX	2016-06-02
oro162274	window_5	FOX	2016-06-02
oro162276	window_5	FOX	2016-06-02
oro162281	window_5	FOX	2016-06-09
oro162282	window_5	FOX	2016-06-09
oro162283	window_5	FOX	2016-06-09
oro162335	window_6	FOX	2016-07-07
oro162336	window_6	FOX	2016-07-07
oro162338	window_6	FOX	2016-07-07
oro162341	window_5	FOX	2016-06-30
oro162342	window_5	FOX	2016-06-30
oro162343	window_5	FOX	2016-06-30
oro162346	window_5	FOX	2016-06-30
oro162350	window_5	FOX	2016-06-30
oro162351	window_5	FOX	2016-06-30
oro162353	window_5	FOX	2016-06-23
oro162357	window_5	FOX	2016-06-23
oro162360	window_5	FOX	2016-06-23
oro162381	window_5	FOX	2016-06-09
oro162383	window_5	FOX	2016-06-09
oro162386	window_6	FOX	2016-07-07
oro162425	window_6	FOX	2016-07-28
oro162429	window_6	FOX	2016-08-04
oro162446	window_7	FOX	2016-08-11
oro162465	window_7	FOX	2016-08-25
oro162468	window_7	FOX	2016-08-25
oro162471	window_7	FOX	2016-08-25
oro162740	window_7	CNB	2016-08-22
oro162742	window_7	CNB	2016-08-22
oro162745	window_7	CNB	2016-08-22
oro162746	window_7	CNB	2016-08-30
oro162748	window_7	CNB	2016-08-30
oro162754	window_7	CNB	2016-08-30
oro162763	window_7	CNB	2016-09-06
oro162784	window_6	CNB	2016-07-20
oro162795	window_6	CNB	2016-07-20
oro162796	window_6	CNB	2016-07-27
oro162806	window_6	CNB	2016-07-27
oro162807	window_6	CNB	2016-07-27
oro162817	window_6	CNB	2016-08-07
