Adoxophyes orana
Agrilus auroguttatus
Agrilus biguttatus
Agrilus planipennis
Alectra vogelii
Anguina tritici
Anoplophora chinensis
Anoplophora glabripennis
Anthonomus grandis 
Archips xylosteanus
Argyresthia pruniella 
Aspidiotus rigidus
Autographa gamma
Bactrocera zonata
Belocaulus spp. 
Bursaphelenchus cocophilus
Callidiellum villosulum
Candidatus Phytoplasma australiense 16SrXII-B
Candidatus Phytoplasma mali 16SrX-A
Candidatus Phytoplasma palmae 16Sr-IV 
Candidatus Phytoplasma phoenicium 16SrIX-B
Candidatus Phytoplasma prunorum 16SrX-F
Candidatus Phytoplasma solani 16SrXII-A
Candidatus Phytoplasma vitis 16SrV-C 
Ceratocystis manginecans
Cernuella spp. 
Cernuella virgata
Ceroplastes japonicus
Chilo partellus 
Chilo suppressalis
Chlorophorus strobilicola
Chrysodeixis chalcites
Cocadviroid Coconut cadang-cadang viroid
Cochlicella spp. 
Colosius spp. 
Conogethes punctiferalis
Crocidosema aporema
Cronartium flaccidum
Cryptoblabes gnidiella 
Darna pallivitta 
Dendroctonus micans
Dendrolimus pini
Dendrolimus punctatus
Dendrolimus sibiricus
Diabrotica speciosa
Diprion pini
Ditylenchus angustus
Enarmonia formosana
Epiphyas postvittana
Erwinia pyrifolia
Eupoecilia ambiguella
Eurygaster integriceps
Eutetranychus orientalis
Fusarium oxysporum f.sp. cubense Tropical race 4
Globodera pallida
Globodera rostochiensis
Grapholita funebrana
Gymnandrosoma aurantianum
Haplaxius crudus
Harpophora maydis
Helicoverpa armigera
Hemileia vastatrix
Heterodera cajani
Heterodera ciceri
Heterodera latipons
Heterodera sacchari
Heteronychus arator
Hylobius abietis
Hymenoscyphus fraxineus
Ips sexdentatus
Ips typographus
Laevicaulis spp. 
Laodelphax striatellus
Leucoptera malifoliella 
Lissachatina fulica
Lobesia botrana
Lycorma delicatula
Lymantria albescens
Lymantria dispar asiatica
Lymantria dispar japonica
Lymantria mathura
Lymantria monacha
Lymantria postalba
Lymantria umbrosa
Lymantria xylina 
Mamestra brassicae
Megaplatypus mutatus 
Meghimatium pictum 
Meloidogyne artiellia
Meloidogyne fallax
Meloidogyne minor
Monacha spp.
Monilia polystroma 
Monilinia fructigena 
Monochamus alternatus
Monochamus urussovii
Neofusicoccum mangiferae
Neoleucinodes elegantalis
Nepovirus Tomato black ring virus
Onopordum acaulon 
Orthotomicus erosus
Orthotospovirus Groundnut bud necrosis virus
Oryctes rhinoceros 
Oxycarenus hyalinipennis
Panolis flammea
Paratachardina pseudolobata
Paysandisia archon 
Pectinophora gossypiella
Peronosclerospora maydis
Peronosclerospora philippinensis
Phytomyza gymnostoma 
Phytophthora alni 
Phytophthora austrocedrae 
Phytophthora kernoviae
Phytophthora quercina
Pieris brassicae 
Pityogenes chalcographus
Platypus quercivorus
Potyvirus Plum pox virus
Pseudopezicula tracheiphila
Raffaelea quercivora
Ralstonia solanacearum race 3 biovar 2 
Raoiella indica 
Rathayibacter toxicus
Rhabdoscelus obscurus 
Rhagoletis cerasi
Rhynchophorus ferrugineus
Rhynchophorus palmarum 
Sarasinula spp. 
Sclerophthora rayssiae var. zeae
Semperula spp. 
Spodoptera littoralis
Spodoptera litura
Stenoma catenifer
Synchytrium endobioticum 
Tecia solanivora
Tetropium castaneum
Tetropium fuscum
Thaumatotibia leucotreta
Thaumetopoea pityocampa
Thaumetopoea processionea
Tobamovirus Cucumber green mottle mosaic virus
Tomicus destruens
Tortrix viridana
Trichoferus campestris
Trogoderma granarium
Trypodendron domesticum
Tuta absoluta
Unaspis yanonensis
Veronicella spp. 
Xanthomonas  oryzaepv. oryzae
Xanthomonas oryzae pv. oryzicola
