Adoxophyes Adoxophyes_orana
Agrilus Agrilus_auroguttatus
Agrilus Agrilus_biguttatus
Agrilus Agrilus_planipennis
Alectra Alectra_vogelii
Anguina Anguina_tritici
Anoplophora Anoplophora_chinensis
Anoplophora Anoplophora_glabripennis
Anthonomus Anthonomus_grandis
Archips Archips_xylosteanus
Argyresthia Argyresthia_pruniella
Aspidiotus Aspidiotus_rigidus
Autographa Autographa_gamma
Bactrocera Bactrocera_zonata
Belocaulus Belocaulus_spp.
Bursaphelenchus Bursaphelenchus_cocophilus
Callidiellum Callidiellum_villosulum
Candidatus Candidatus_Phytoplasma
Ceratocystis Ceratocystis_manginecans
Cernuella Cernuella_spp.
Cernuella Cernuella_virgata
Ceroplastes Ceroplastes_japonicus
Chilo Chilo_partellus
Chilo Chilo_suppressalis
Chlorophorus Chlorophorus_strobilicola
Chrysodeixis Chrysodeixis_chalcites
Cocadviroid Cocadviroid_Coconut
Cochlicella Cochlicella_spp.
Colosius Colosius_spp.
Conogethes Conogethes_punctiferalis
Crocidosema Crocidosema_aporema
Cronartium Cronartium_flaccidum
Cryptoblabes Cryptoblabes_gnidiella
Darna Darna_pallivitta
Dendroctonus Dendroctonus_micans
Dendrolimus Dendrolimus_pini
Dendrolimus Dendrolimus_punctatus
Dendrolimus Dendrolimus_sibiricus
Diabrotica Diabrotica_speciosa
Diprion Diprion_pini
Ditylenchus Ditylenchus_angustus
Enarmonia Enarmonia_formosana
Epiphyas Epiphyas_postvittana
Erwinia Erwinia_pyrifolia
Eupoecilia Eupoecilia_ambiguella
Eurygaster Eurygaster_integriceps
Eutetranychus Eutetranychus_orientalis
Fusarium Fusarium_oxysporum
Globodera Globodera_pallida
Globodera Globodera_rostochiensis
Grapholita Grapholita_funebrana
Gymnandrosoma Gymnandrosoma_aurantianum
Haplaxius Haplaxius_crudus
Harpophora Harpophora_maydis
Helicoverpa Helicoverpa_armigera
Hemileia Hemileia_vastatrix
Heterodera Heterodera_cajani
Heterodera Heterodera_ciceri
Heterodera Heterodera_latipons
Heterodera Heterodera_sacchari
Heteronychus Heteronychus_arator
Hylobius Hylobius_abietis
Hymenoscyphus Hymenoscyphus_fraxineus
Ips Ips_sexdentatus
Ips Ips_typographus
Laevicaulis Laevicaulis_spp.
Laodelphax Laodelphax_striatellus
Leucoptera Leucoptera_malifoliella
Lissachatina Lissachatina_fulica
Lobesia Lobesia_botrana
Lycorma Lycorma_delicatula
Lymantria Lymantria_albescens
Lymantria Lymantria_dispar
Lymantria Lymantria_mathura
Lymantria Lymantria_monacha
Lymantria Lymantria_postalba
Lymantria Lymantria_umbrosa
Lymantria Lymantria_xylina
Mamestra Mamestra_brassicae
Megaplatypus Megaplatypus_mutatus
Meghimatium Meghimatium_pictum
Meloidogyne Meloidogyne_artiellia
Meloidogyne Meloidogyne_fallax
Meloidogyne Meloidogyne_minor
Monacha Monacha_spp.
Monilia Monilia_polystroma
Monilinia Monilinia_fructigena
Monochamus Monochamus_alternatus
Monochamus Monochamus_urussovii
Neofusicoccum Neofusicoccum_mangiferae
Neoleucinodes Neoleucinodes_elegantalis
Nepovirus Nepovirus_Tomato
Onopordum Onopordum_acaulon
Orthotomicus Orthotomicus_erosus
Orthotospovirus Orthotospovirus_Groundnut
Oryctes Oryctes_rhinoceros
Oxycarenus Oxycarenus_hyalinipennis
Panolis Panolis_flammea
Paratachardina Paratachardina_pseudolobata
Paysandisia Paysandisia_archon
Pectinophora Pectinophora_gossypiella
Peronosclerospora Peronosclerospora_maydis
Peronosclerospora Peronosclerospora_philippinensis
Phytomyza Phytomyza_gymnostoma
Phytophthora Phytophthora_alni
Phytophthora Phytophthora_austrocedrae
Phytophthora Phytophthora_kernoviae
Phytophthora Phytophthora_quercina
Pieris Pieris_brassicae
Pityogenes Pityogenes_chalcographus
Platypus Platypus_quercivorus
Potyvirus Potyvirus_Plum
Pseudopezicula Pseudopezicula_tracheiphila
Raffaelea Raffaelea_quercivora
Ralstonia Ralstonia_solanacearum
Raoiella Raoiella_indica
Rathayibacter Rathayibacter_toxicus
Rhabdoscelus Rhabdoscelus_obscurus
Rhagoletis Rhagoletis_cerasi
Rhynchophorus Rhynchophorus_ferrugineus
Rhynchophorus Rhynchophorus_palmarum
Sarasinula Sarasinula_spp.
Sclerophthora Sclerophthora_rayssiae
Semperula Semperula_spp.
Spodoptera Spodoptera_littoralis
Spodoptera Spodoptera_litura
Stenoma Stenoma_catenifer
Synchytrium Synchytrium_endobioticum
Tecia Tecia_solanivora
Tetropium Tetropium_castaneum
Tetropium Tetropium_fuscum
Thaumatotibia Thaumatotibia_leucotreta
Thaumetopoea Thaumetopoea_pityocampa
Thaumetopoea Thaumetopoea_processionea
Tobamovirus Tobamovirus_Cucumber
Tomicus Tomicus_destruens
Tortrix Tortrix_viridana
Trichoferus Trichoferus_campestris
Trogoderma Trogoderma_granarium
Trypodendron Trypodendron_domesticum
Tuta Tuta_absoluta
Unaspis Unaspis_yanonensis
Veronicella Veronicella_spp.
Xanthomonas Xanthomonas_
Xanthomonas Xanthomonas_oryzae
