Order,Family,Genus,Species
Hemiptera,Diaspididae,Abgrallaspis,aguacatae
Hemiptera,Diaspididae,Abgrallaspis,flabellata
Hemiptera,Diaspididae,Abgrallaspis,gliwicensis
Hemiptera,Diaspididae,Abgrallaspis,latastei
Hemiptera,Diaspididae,Abgrallaspis,mendax
Hemiptera,Diaspididae,Abgrallaspis,perseae
Hemiptera,Diaspididae,Abgrallaspis,NA
Coleoptera,Chrysomelidae,Acallepitrix,NA
Coleoptera,Curculionidae,Acalles,NA
Coleoptera,Chrysomelidae,Acalymma,NA
Hemiptera,Tingidae,Acalypta,NA
Coleoptera,Curculionidae,Acamptus,NA
Hemiptera,Acanaloniidae,Acanalonia,NA
Hemiptera,Acanaloniidae,NA,NA
Coleoptera,Dryophthoridae,Acantharhinus,dregei
Diptera,Tephritidae,Acanthiophilus,helianthi
Hemiptera,Coreidae,Acanthocephala,NA
Hemiptera,Tingidae,Acanthocheila,NA
Coleoptera,Cerambycidae,NA,NA
Coleoptera,Cerambycidae,Acanthocinus,NA
Hemiptera,Eriococcidae,Acanthococcus,NA
Coleoptera,Cerambycidae,Acanthoderes,NA
Coleoptera,Bostrichidae,Acantholyctus,NA
Hemiptera,Diaspididae,Acanthomytilus,intermittens
Hemiptera,Diaspididae,Acanthomytilus,NA
Lepidoptera,Noctuidae,Acanthoplusia,agnata
Coleoptera,Chrysomelidae,Acanthoscelides,agrillaceus
Coleoptera,Chrysomelidae,Acanthoscelides,boneti
Coleoptera,Chrysomelidae,Acanthoscelides,brevipes
Coleoptera,Chrysomelidae,Acanthoscelides,cornis
Coleoptera,Chrysomelidae,Acanthoscelides,guazumae
Coleoptera,Chrysomelidae,Acanthoscelides,mankinsi
Coleoptera,Chrysomelidae,Acanthoscelides,mazatlan
Coleoptera,Chrysomelidae,Acanthoscelides,megacornis
Coleoptera,Chrysomelidae,Acanthoscelides,obreptus
Coleoptera,Chrysomelidae,Acanthoscelides,obvelatus
Coleoptera,Chrysomelidae,Acanthoscelides,pertinax
Coleoptera,Chrysomelidae,Acanthoscelides,puellus
Coleoptera,Chrysomelidae,Acanthoscelides,rhynchosiestes
Coleoptera,Chrysomelidae,Acanthoscelides,NA
Coleoptera,Chrysomelidae,Acanthoscelides,zeteki
Hemiptera,Acanthosomatidae,Acanthosoma,haemorrhoidale
Hemiptera,Acanthosomatidae,NA,NA
Coleoptera,Curculionidae,Acanthotomicus,NA
Hemiptera,Membracidae,Acanthuchus,NA
Hemiptera,Membracidae,Acanthuchus,trispinifer
Hemiptera,Aleyrodidae,Acaudaleyrodes,rachipora
Hemiptera,Aleyrodidae,Acaudaleyrodes,NA
Hemiptera,Aleyrodidae,Acautaleyrodes,NA
Lepidoptera,Crambidae,NA,NA
Hemiptera,Cicadellidae,Aceratagallia,NA
Lepidoptera,Erebidae,Achaea,janata
Lepidoptera,Erebidae,Achaea,NA
Lepidoptera,Limacodidae,Acharia,NA
Lepidoptera,Sphingidae,Acherontia,styx
Coleoptera,Curculionidae,Achia,NA
Hemiptera,Achilidae,NA,NA
Coleoptera,Cerambycidae,Achryson,NA
Lepidoptera,Crambidae,Achyra,similalis
Coleoptera,Curculionidae,Acicnemis,NA
Hemiptera,Cicadellidae,Acinopterus,NA
Diptera,Tephritidae,Aciura,NA
Hemiptera,Psyllidae,Acizzia,NA
