diff	lwr	upr	p.adj	Pairs
0.71	0.005	1.407	0.046	26-21
-0.45	-0.987	0.081	0.222	21-19
0.57	-0.128	1.274	0.285	26-18
0.56	-0.162	1.288	0.378	26-14
0.79	-0.249	1.836	0.417	26-24
-0.57	-1.342	0.207	0.495	28-26
0.5	-0.195	1.194	0.533	26-16
0.7	-0.34	1.744	0.656	26-11
0.75	-0.426	1.934	0.746	30-21
0.47	-0.285	1.233	0.78	26-17
-0.47	-1.22	0.285	0.788	27-26
0.32	-0.214	0.854	0.834	19-18
0.84	-0.568	2.251	0.838	30-24
0.46	-0.316	1.233	0.847	26-12
-0.37	-0.995	0.264	0.868	21-20
-0.54	-1.479	0.397	0.875	24-19
-0.62	-1.713	0.474	0.891	29-26
1.04	-0.798	2.878	0.892	26-23
0.31	-0.255	0.875	0.916	19-14
0.43	-0.354	1.212	0.918	26-13
0.45	-0.391	1.287	0.934	26-15
0.75	-0.66	2.16	0.936	30-11
0.62	-0.56	1.801	0.942	30-18
1.09	-0.981	3.157	0.942	30-23
0.65	-0.598	1.888	0.949	26-25
0.61	-0.584	1.806	0.955	30-14
0.62	-0.61	1.84	0.963	30-28
-0.31	-0.942	0.313	0.963	28-19
0.45	-0.489	1.387	0.977	19-11
0.25	-0.279	0.772	0.982	19-16
0.55	-0.629	1.724	0.983	30-16
0.67	-0.781	2.115	0.985	30-29
0.34	-0.4	1.081	0.985	26-20
-0.45	-1.449	0.542	0.986	24-20
0.69	-0.871	2.257	0.99	30-25
-0.79	-2.568	0.994	0.99	23-19
0.52	-0.694	1.738	0.993	30-17
0.52	-0.696	1.727	0.994	30-27
0.51	-0.719	1.731	0.996	30-12
0.76	-1.083	2.594	0.996	26-10
-0.28	-0.956	0.402	0.996	21-13
0.5	-0.771	1.763	0.998	30-15
0.8	-1.266	2.872	0.998	30-10
0.48	-0.754	1.707	0.998	30-13
-0.7	-2.512	1.113	0.998	23-20
0.25	-0.408	0.914	0.998	26-19
0.24	-0.405	0.882	0.999	27-21
-0.25	-0.917	0.422	0.999	21-12
0.23	-0.397	0.862	0.999	20-18
-0.37	-1.361	0.628	0.999	29-19
0.22	-0.387	0.83	0.999	19-17
0.36	-0.634	1.357	0.999	20-11
-0.21	-0.782	0.368	0.999	21-16
-0.21	-0.814	0.386	0.999	27-19
-0.23	-0.884	0.42	0.999	21-17
-0.37	-1.392	0.662	0.999	24-13
-0.26	-1.001	0.485	1	21-15
0.22	-0.433	0.879	1	20-14
-0.39	-1.549	0.765	1	25-19
-0.61	-2.441	1.219	1	23-13
-0.34	-1.356	0.686	1	24-12
0.21	-0.422	0.833	1	19-12
0.33	-0.678	1.331	1	27-24
-0.35	-1.417	0.725	1	24-15
0.39	-0.816	1.592	1	30-20
-0.23	-0.937	0.483	1	28-20
-0.59	-2.447	1.263	1	23-15
-0.58	-2.408	1.245	1	23-12
-0.32	-1.329	0.69	1	24-17
0.57	-1.245	2.39	1	27-23
-0.57	-2.386	1.254	1	23-17
-0.29	-1.256	0.668	1	24-16
-0.54	-2.335	1.253	1	23-16
0.5	-1.279	2.284	1	19-10
0.19	-0.51	0.9	1	19-15
0.18	-0.462	0.813	1	19-13
-0.28	-1.328	0.77	1	29-20
0.27	-0.754	1.301	1	13-11
-0.48	-2.283	1.329	1	23-14
-0.47	-2.264	1.329	1	23-18
0.3	-0.856	1.458	1	30-19
0.47	-1.354	2.299	1	28-23
0.16	-0.464	0.781	1	20-16
-0.3	-1.509	0.899	1	25-20
0.24	-0.777	1.265	1	12-11
0.25	-0.817	1.325	1	15-11
-0.23	-1.215	0.754	1	24-14
0.23	-0.77	1.239	1	27-11
-0.14	-0.754	0.469	1	21-14
0.41	-1.398	2.227	1	20-10
-0.22	-1.188	0.746	1	24-18
-0.13	-0.716	0.45	1	21-18
0.23	-0.782	1.238	1	17-11
0.23	-0.795	1.247	1	28-24
-0.14	-0.823	0.535	1	18-13
0.42	-1.562	2.403	1	29-23
0.2	-0.759	1.165	1	16-11
0.14	-0.531	0.808	1	28-21
0.13	-0.56	0.827	1	20-17
-0.13	-0.838	0.569	1	14-13
0.39	-1.674	2.464	1	25-23
-0.33	-2.13	1.463	1	23-21
-0.13	-0.813	0.559	1	27-20
-0.14	-0.893	0.616	1	28-13
0.33	-1.504	2.156	1	13-10
-0.19	-1.27	0.888	1	29-13
-0.22	-1.447	1.014	1	25-13
-0.34	-2.293	1.617	1	23-11
-0.11	-0.784	0.555	1	18-12
-0.12	-0.868	0.618	1	18-15
0.12	-0.592	0.828	1	20-12
0.31	-1.547	2.162	1	15-10
0.11	-0.538	0.749	1	27-18
0.3	-1.53	2.123	1	12-10
0.29	-1.529	2.105	1	27-10
-0.2	-1.464	1.07	1	25-15
0.28	-1.539	2.101	1	17-10
-0.17	-1.292	0.949	1	29-15
-0.19	-1.412	1.038	1	25-12
-0.1	-0.75	0.553	1	18-17
-0.1	-0.799	0.589	1	14-12
0.12	-0.65	0.881	1	15-14
-0.16	-1.234	0.912	1	29-12
-0.09	-0.672	0.497	1	20-19
-0.12	-0.932	0.693	1	28-15
0.18	-1.033	1.39	1	27-25
-0.11	-0.855	0.637	1	28-12
-0.15	-1.21	0.905	1	29-27
0.1	-0.574	0.766	1	27-14
0.26	-1.538	2.05	1	16-10
0.14	-0.845	1.123	1	14-11
-0.17	-1.387	1.044	1	25-17
-0.1	-0.823	0.623	1	28-27
0.11	-0.673	0.888	1	20-15
-0.15	-1.208	0.917	1	29-17
0.17	-1.106	1.454	1	29-24
0.13	-0.837	1.096	1	18-11
0.13	-0.886	1.156	1	28-11
0.09	-0.588	0.766	1	17-14
-0.09	-0.823	0.637	1	28-17
-0.07	-0.649	0.502	1	18-16
0.25	-1.709	2.201	1	24-23
-0.15	-1.322	1.03	1	25-16
0.09	-0.631	0.808	1	20-13
-0.12	-1.137	0.897	1	29-16
-0.28	-2.758	2.188	1	23-10
0.19	-1.614	1.998	1	14-10
0.06	-0.54	0.668	1	16-14
0.15	-1.261	1.558	1	25-24
-0.07	-0.743	0.602	1	16-13
0.05	-1.902	2.008	1	11-10
0.18	-1.614	1.979	1	18-10
0.05	-1.747	1.846	1	21-10
-0.04	-1.994	1.916	1	24-10
0.11	-1.959	2.179	1	25-10
0.19	-1.639	2.014	1	28-10
0.14	-1.847	2.118	1	29-10
0	-0.97	0.963	1	21-11
-0.09	-1.328	1.145	1	24-11
0.06	-1.353	1.467	1	25-11
0.08	-1.197	1.362	1	29-11
0.03	-0.725	0.784	1	13-12
0.01	-0.802	0.823	1	15-12
-0.04	-0.703	0.622	1	16-12
-0.02	-0.746	0.714	1	17-12
-0.01	-0.732	0.714	1	27-12
-0.02	-0.84	0.801	1	15-13
-0.05	-0.784	0.694	1	17-13
-0.04	-0.771	0.693	1	27-13
-0.01	-0.621	0.602	1	18-14
-0.08	-1.277	1.112	1	25-14
0	-0.698	0.69	1	28-14
-0.06	-1.094	0.982	1	29-14
-0.05	-0.788	0.686	1	16-15
-0.03	-0.824	0.772	1	17-15
-0.02	-0.811	0.772	1	27-15
0.03	-0.62	0.67	1	17-16
0.03	-0.605	0.669	1	27-16
-0.07	-0.731	0.594	1	28-16
0.01	-0.7	0.713	1	27-17
-0.07	-1.253	1.108	1	25-18
0.01	-0.664	0.675	1	28-18
-0.05	-1.068	0.975	1	29-18
-0.09	-1.054	0.879	1	24-21
0.06	-1.12	1.241	1	25-21
0.09	-0.935	1.108	1	29-21
0.08	-1.147	1.303	1	28-25
0.03	-1.422	1.474	1	29-25
0.05	-1.195	1.291	1	30-26
-0.05	-1.125	1.021	1	29-28
