diff	lwr	upr	p.adj	Pairs
14.67	6.75	22.598	0	MAP-FOX
-15.29	-23.69	-6.881	0	MTV-MAP
14.55	6.472	22.628	0	MAP-HOL
14.75	5.859	23.642	0	MAP-HOP
11	0.975	21.03	0.019	PEN-MTV
10.39	0.762	20.019	0.023	PEN-FOX
10.27	0.511	20.023	0.031	PEN-HOL
-10.52	-20.628	-0.405	0.034	MTV-CNB
-9.9	-19.621	-0.189	0.042	FOX-CNB
10.47	0.028	20.906	0.049	PEN-HOP
-9.34	-18.692	0.01	0.05	MTV-BRN
-9.78	-19.623	0.061	0.053	HOL-CNB
-8.73	-17.652	0.192	0.061	FOX-BRN
-8.61	-17.665	0.453	0.078	HOL-BRN
-9.98	-20.501	0.539	0.078	HOP-CNB
-8.81	-18.598	0.985	0.117	HOP-BRN
-8.27	-18.56	2.022	0.232	MTV-CNA
-7.66	-17.561	2.245	0.281	FOX-CNA
-7.53	-17.56	2.492	0.319	HOL-CNA
-7.73	-18.427	2.959	0.372	HOP-CNA
7.02	-3.178	17.21	0.444	MAP-CNA
5.94	-3.3	15.188	0.541	MAP-BRN
4.77	-5.243	14.782	0.862	MAP-CNB
-4.28	-14.211	5.644	0.917	PEN-MAP
2.73	-8.836	14.302	0.998	PEN-CNA
2.25	-9.395	13.889	1	CNB-CNA
1.66	-9.08	12.402	1	PEN-BRN
1.18	-9.645	11.995	1	CNB-BRN
-1.07	-12.06	9.916	1	CNA-BRN
-0.74	-8.935	7.465	1	MTV-HOL
-0.61	-8.66	7.437	1	MTV-FOX
-0.54	-9.538	8.468	1	MTV-HOP
0.49	-10.924	11.895	1	PEN-CNB
-0.2	-8.899	8.499	1	HOP-HOL
0.12	-7.583	7.831	1	HOL-FOX
-0.08	-8.633	8.48	1	HOP-FOX
