diff	lwr	upr	p.adj	Pairs
-14.05	-24.33	-3.767	0	15-10
-13.44	-23.63	-3.251	0.001	15-11
18.15	3.156	33.141	0.004	10-8
17.54	2.612	32.47	0.006	11-8
-11.45	-21.344	-1.565	0.008	13-10
-10.85	-20.64	-1.053	0.014	13-11
16.05	1.356	30.738	0.017	10-9
15.44	0.813	30.066	0.027	11-9
-11.83	-23.557	-0.111	0.045	19-10
-11.23	-22.868	0.416	0.073	19-11
-11.84	-24.363	0.675	0.087	20-10
-11.24	-23.68	1.208	0.131	20-11
-19.48	-43.249	4.289	0.259	16-10
-8.09	-18.009	1.832	0.268	14-10
-18.87	-42.602	4.857	0.308	16-11
-13.06	-29.593	3.475	0.32	17-10
-7.48	-17.305	2.345	0.385	14-11
-12.45	-28.928	4.026	0.399	17-11
10.97	-3.77	25.706	0.427	12-8
-12.55	-30.15	5.053	0.506	21-10
-7.18	-17.269	2.908	0.509	12-10
-6.87	-16.774	3.039	0.557	15-12
10.06	-4.563	24.684	0.571	14-8
-11.94	-29.488	5.608	0.591	21-11
-6.57	-16.568	3.422	0.649	12-11
8.87	-5.565	23.297	0.753	12-9
-5.96	-15.695	3.775	0.758	15-14
-11.57	-30.566	7.426	0.765	18-10
-10.96	-29.909	7.984	0.828	18-11
7.96	-6.355	22.273	0.868	14-9
-12.3	-35.909	11.31	0.917	16-12
-11.39	-34.93	12.146	0.954	16-14
6.69	-7.908	21.297	0.971	13-8
-4.27	-13.773	5.225	0.976	13-12
-4.65	-16.048	6.743	0.99	19-12
6.32	-9.586	22.216	0.993	19-8
6.31	-10.192	22.802	0.995	20-8
-4.66	-16.876	7.55	0.995	20-12
3.37	-5.954	12.686	0.997	14-13
-5.88	-22.181	10.426	0.997	17-12
-8.03	-31.551	15.499	0.999	16-13
-3.75	-14.992	7.501	0.999	19-14
13.13	-26.687	52.951	0.999	10-7
4.59	-9.7	18.885	0.999	13-9
12.52	-27.272	52.319	0.999	11-7
7.65	-16.706	31.999	0.999	19-16
-3.76	-15.83	8.319	1	20-14
-5.37	-22.753	12.018	1	21-12
7.64	-17.109	32.382	1	20-16
-4.97	-21.17	11.229	1	17-14
6.58	-15.245	28.402	1	18-8
7.91	-20.664	36.484	1	18-16
4.1	-10.77	18.971	1	15-8
5.6	-15.021	26.222	1	21-8
4.21	-11.404	19.831	1	19-9
-2.59	-12.297	7.109	1	15-13
4.2	-12.02	20.427	1	20-9
5.09	-14.628	24.808	1	17-8
-4.46	-21.748	12.828	1	21-14
6.93	-20.735	34.599	1	21-16
6.42	-20.578	33.421	1	17-16
-4.39	-23.185	14.406	1	18-12
-5.43	-29.124	18.261	1	16-15
4.48	-17.141	26.095	1	18-9
-11.13	-66.957	44.694	1	22-10
2.21	-9.352	13.781	1	19-15
-10.52	-66.332	45.285	1	22-11
-3.48	-22.188	15.224	1	18-14
2.2	-10.168	14.577	1	20-15
3.5	-16.904	23.902	1	21-9
2.99	-16.501	22.478	1	17-9
5.95	-33.773	45.675	1	12-7
-6.35	-51.528	38.831	1	16-7
8.35	-51.418	68.115	1	22-16
2	-12.567	16.565	1	15-9
-3.43	-29.345	22.479	1	16-9
2.48	-16.422	21.378	1	18-15
5.04	-34.638	44.725	1	14-7
7.02	-49.832	63.867	1	22-8
-5.02	-46.26	36.226	1	8-7
2.1	-16.098	20.302	1	9-8
-1.6	-17.785	14.577	1	17-13
-0.91	-10.439	8.624	1	14-12
4.92	-51.855	61.686	1	22-9
1.5	-15.998	18.998	1	21-15
-2.92	-44.05	38.219	1	9-7
-3.95	-59.708	51.807	1	22-12
1.68	-37.997	41.351	1	13-7
-0.92	-40.69	38.857	1	15-7
0.07	-41.755	41.901	1	17-7
1.56	-41.3	44.422	1	18-7
1.3	-38.872	41.468	1	19-7
1.29	-39.122	41.698	1	20-7
0.58	-41.678	42.845	1	21-7
2	-65.769	69.769	1	22-7
-1.33	-27.416	24.753	1	16-8
-0.61	-10.974	9.759	1	11-10
-0.12	-18.805	18.574	1	18-13
-0.38	-11.599	10.84	1	19-13
-0.39	-12.438	11.66	1	20-13
-1.09	-18.364	16.177	1	21-13
0.32	-55.399	56.045	1	22-13
-3.04	-58.771	52.684	1	22-14
0.99	-15.434	17.413	1	17-15
2.92	-52.876	58.709	1	22-15
1.49	-21.422	24.399	1	18-17
1.23	-16.137	18.587	1	19-17
1.21	-16.695	19.125	1	20-17
0.51	-21.258	22.278	1	21-17
1.93	-55.348	59.203	1	22-17
-0.26	-19.985	19.458	1	19-18
-0.27	-20.478	19.931	1	20-18
-0.98	-24.67	22.714	1	21-18
0.44	-57.595	58.473	1	22-18
-0.01	-13.605	13.584	1	20-19
-0.71	-19.097	17.667	1	21-19
0.7	-55.374	56.778	1	22-19
-0.7	-19.604	18.195	1	21-20
0.71	-55.536	56.96	1	22-20
1.42	-56.176	59.009	1	22-21
