diff	lwr	upr	p.adj	Pairs
0.89	0.407	1.378	0	MAP-FOX
-0.78	-1.293	-0.263	0	MTV-MAP
0.73	0.186	1.275	0.001	MAP-HOP
-0.73	-1.274	-0.181	0.001	FOX-BRN
-0.74	-1.331	-0.141	0.004	FOX-CNB
0.71	0.125	1.304	0.006	PEN-FOX
-0.61	-1.186	-0.04	0.026	MTV-BRN
-0.62	-1.227	-0.014	0.041	FOX-CNA
-0.62	-1.241	-0.002	0.048	MTV-CNB
0.6	-0.014	1.214	0.061	PEN-MTV
0.46	-0.011	0.933	0.062	HOL-FOX
-0.57	-1.165	0.034	0.083	HOP-BRN
-0.57	-1.218	0.07	0.125	HOP-CNB
0.43	-0.063	0.926	0.144	MAP-HOL
0.55	-0.087	1.192	0.153	PEN-HOP
-0.51	-1.136	0.124	0.234	MTV-CNA
-0.46	-1.113	0.197	0.42	HOP-CNA
-0.35	-0.849	0.156	0.441	MTV-HOL
-0.3	-0.832	0.234	0.716	HOP-HOL
-0.27	-0.821	0.288	0.857	HOL-BRN
-0.28	-0.878	0.328	0.889	HOL-CNB
0.27	-0.352	0.897	0.912	MAP-CNA
0.25	-0.344	0.851	0.924	PEN-HOL
0.16	-0.362	0.686	0.989	HOP-FOX
-0.18	-0.786	0.43	0.992	PEN-MAP
0.17	-0.401	0.731	0.992	MAP-BRN
-0.16	-0.773	0.455	0.997	HOL-CNA
0.16	-0.457	0.77	0.997	MAP-CNB
0.11	-0.379	0.607	0.998	MTV-FOX
0.12	-0.597	0.829	1	CNB-CNA
-0.11	-0.78	0.566	1	CNA-BRN
0.09	-0.614	0.803	1	PEN-CNA
-0.05	-0.599	0.504	1	MTV-HOP
-0.02	-0.72	0.677	1	PEN-CNB
-0.01	-0.671	0.645	1	PEN-BRN
0.01	-0.654	0.671	1	CNB-BRN
