diff	lwr	upr	p.adj	Pairs
0.83	-0.126	1.778	0.189	14-12
0.9	-0.212	2.017	0.3	15-12
0.78	-0.191	1.757	0.314	20-12
-0.72	-1.653	0.204	0.37	17-14
0.67	-0.241	1.577	0.487	16-12
-0.8	-1.896	0.293	0.496	17-15
0.68	-0.27	1.633	0.539	20-17
-0.59	-1.429	0.248	0.574	18-14
-0.67	-1.686	0.352	0.707	18-15
-0.57	-1.451	0.318	0.741	17-16
0.55	-0.316	1.411	0.758	20-18
0.65	-0.381	1.688	0.764	13-12
-1.06	-2.796	0.679	0.813	25-15
-0.98	-2.62	0.657	0.834	25-14
-0.54	-1.459	0.378	0.854	27-14
-0.62	-1.703	0.469	0.888	27-15
-0.94	-2.589	0.713	0.888	25-20
-0.43	-1.208	0.342	0.902	19-14
-0.43	-1.221	0.356	0.917	18-16
-0.55	-1.565	0.461	0.921	17-13
-0.5	-1.439	0.444	0.94	27-20
-0.51	-1.477	0.458	0.941	19-15
0.53	-0.495	1.55	0.952	28-12
0.55	-0.516	1.609	0.953	26-12
-0.82	-2.437	0.79	0.956	25-16
-0.42	-1.259	0.417	0.963	21-14
-0.5	-1.517	0.521	0.972	21-15
0.39	-0.412	1.192	0.973	20-19
-0.81	-2.496	0.879	0.977	25-13
0.39	-0.467	1.253	0.986	19-12
-0.42	-1.349	0.514	0.989	18-13
0.4	-0.513	1.323	0.991	21-12
-0.38	-1.256	0.491	0.991	27-16
-0.38	-1.241	0.486	0.991	21-20
0.63	-0.838	2.099	0.993	15-11
0.45	-0.596	1.487	0.993	26-17
-0.63	-2.094	0.843	0.994	24-15
0.43	-0.575	1.427	0.994	28-17
0.7	-1.003	2.407	0.996	26-25
0.55	-0.796	1.903	0.996	14-11
-0.55	-1.899	0.8	0.996	24-14
0.68	-0.997	2.363	0.996	28-25
1	-1.543	3.545	0.998	15-10
-0.28	-0.996	0.446	0.998	19-16
0.51	-0.855	1.876	0.999	20-11
0.92	-1.552	3.401	0.999	14-10
-0.51	-1.871	0.859	0.999	24-20
-0.37	-1.372	0.636	0.999	27-13
0.88	-1.604	3.367	0.999	20-10
0.29	-0.543	1.126	1	19-17
-0.56	-2.179	1.058	1	25-21
-0.55	-2.135	1.038	1	25-19
0.3	-0.59	1.197	1	21-17
-0.38	-1.49	0.739	1	28-15
-0.26	-1.052	0.526	1	21-16
-0.85	-3.391	1.696	1	23-15
0.31	-0.651	1.272	1	26-18
0.29	-0.626	1.209	1	28-18
-0.3	-1.25	0.653	1	28-14
0.77	-1.694	3.227	1	16-10
-0.77	-3.248	1.706	1	23-14
-0.36	-1.507	0.795	1	26-15
-0.47	-2.007	1.066	1	29-15
0.4	-0.923	1.715	1	16-11
0.75	-1.758	3.261	1	13-10
-0.26	-1.135	0.614	1	19-13
-0.39	-1.71	0.928	1	24-16
0.59	-1.398	2.573	1	29-25
0.43	-1.04	1.904	1	29-12
-0.73	-3.213	1.757	1	23-20
0.29	-0.706	1.277	1	27-12
-0.5	-2.235	1.24	1	30-15
-0.28	-1.274	0.715	1	26-14
-0.39	-1.817	1.03	1	29-14
0.38	-1.028	1.79	1	13-11
-0.38	-1.786	1.033	1	24-13
-0.25	-1.18	0.683	1	21-13
0.44	-1.22	2.102	1	27-25
-0.26	-1.229	0.719	1	28-20
0.56	-1.584	2.706	1	30-25
0.24	-0.682	1.153	1	18-12
-0.42	-2.059	1.218	1	30-14
0.64	-1.876	3.166	1	26-10
-0.26	-1.293	0.771	1	27-26
0.63	-1.879	3.131	1	28-10
-0.61	-3.074	1.847	1	23-16
0.24	-0.749	1.233	1	28-27
-0.35	-1.789	1.088	1	29-20
-0.39	-2.01	1.227	1	25-18
0.41	-1.275	2.086	1	30-12
-0.6	-3.108	1.911	1	23-13
-0.24	-1.252	0.779	1	26-20
-0.23	-1.245	0.776	1	16-15
-0.38	-2.029	1.274	1	30-20
0.33	-1.126	1.788	1	29-17
-0.43	-2.366	1.501	1	25-24
0.25	-0.876	1.375	1	15-13
-0.43	-2.361	1.506	1	25-11
0.16	-0.575	0.89	1	19-18
0.17	-0.63	0.969	1	21-18
0.5	-1.96	2.967	1	21-10
0.49	-1.952	2.934	1	19-10
0.28	-1.123	1.677	1	24-12
0.53	-2.189	3.25	1	29-10
0.49	-2.03	3.013	1	26-23
-0.27	-1.672	1.128	1	12-11
0.27	-1.155	1.704	1	26-11
-0.16	-0.986	0.67	1	16-14
0.18	-0.785	1.153	1	27-17
0.47	-2.032	2.977	1	28-23
0.27	-1.16	1.699	1	26-24
0.3	-1.363	1.971	1	30-17
0.26	-1.145	1.655	1	28-11
0.25	-1.15	1.651	1	28-24
0.17	-0.792	1.138	1	14-13
0.5	-2.334	3.341	1	30-10
0.15	-0.753	1.06	1	26-19
-0.24	-1.631	1.159	1	29-16
-0.26	-1.876	1.351	1	30-16
0.13	-0.726	0.995	1	28-19
-0.14	-1.049	0.768	1	28-16
0.38	-2.108	2.876	1	27-10
-0.26	-1.924	1.41	1	25-17
0.13	-0.759	1.028	1	18-17
-0.22	-1.701	1.259	1	29-13
0.14	-0.82	1.103	1	26-21
-0.25	-1.936	1.44	1	30-13
-0.35	-2.814	2.114	1	23-21
0.2	-1.205	1.597	1	29-18
0.38	-2.306	3.056	1	24-10
0.38	-2.342	3.096	1	29-23
-0.34	-2.781	2.105	1	23-19
0.37	-2.31	3.052	1	11-10
0.33	-2.13	2.798	1	18-10
-0.12	-1.002	0.764	1	27-21
0.11	-0.739	0.968	1	20-16
0.12	-0.795	1.04	1	28-21
0.13	-0.857	1.116	1	20-13
-0.11	-0.93	0.715	1	27-19
-0.12	-1.075	0.831	1	26-16
0.18	-1.209	1.56	1	24-17
0.35	-2.487	3.188	1	30-23
-0.17	-1.556	1.214	1	17-11
-0.13	-1.161	0.909	1	28-13
-0.12	-1.19	0.95	1	20-15
0.17	-1.449	1.788	1	30-18
0.1	-2.406	2.603	1	12-10
0.2	-2.296	2.696	1	17-10
0.15	-3.238	3.545	1	23-10
-0.06	-2.895	2.78	1	25-10
-0.04	-1.362	1.289	1	18-11
0.12	-1.166	1.407	1	19-11
0.13	-1.193	1.458	1	21-11
-0.22	-2.899	2.464	1	23-11
0	-1.691	1.7	1	24-11
0.01	-1.364	1.391	1	27-11
0.16	-1.595	1.915	1	29-11
0.13	-1.8	2.067	1	30-11
0.1	-0.9	1.102	1	17-12
0.05	-2.45	2.559	1	23-12
-0.16	-1.836	1.525	1	25-12
0.01	-0.907	0.937	1	16-13
-0.11	-1.181	0.967	1	26-13
0.08	-0.973	1.127	1	15-14
-0.04	-0.943	0.857	1	20-14
-0.05	-2.543	2.45	1	23-17
-0.18	-2.645	2.283	1	23-18
0.04	-1.284	1.367	1	24-18
0.05	-0.833	0.933	1	27-18
0.01	-0.721	0.744	1	21-19
-0.12	-1.403	1.17	1	24-19
0.04	-1.325	1.403	1	29-19
0.01	-1.574	1.599	1	30-19
-0.13	-1.454	1.198	1	24-21
0.03	-1.374	1.428	1	29-21
0	-1.618	1.619	1	30-21
0.22	-2.459	2.903	1	24-23
-0.21	-3.048	2.627	1	25-23
0.23	-2.262	2.723	1	27-23
0.01	-1.369	1.386	1	27-24
0.16	-1.6	1.91	1	29-24
0.13	-1.805	2.062	1	30-24
-0.02	-1.081	1.043	1	28-26
-0.11	-1.614	1.385	1	29-26
-0.14	-1.846	1.564	1	30-26
0.15	-1.304	1.597	1	29-27
0.12	-1.542	1.781	1	30-27
-0.1	-1.567	1.376	1	29-28
-0.12	-1.802	1.558	1	30-28
-0.03	-2.012	1.959	1	30-29
