windowA,windowB,res.P.unadj,res.P.adj,Metric
3,4,0.142,0.304,SR
3,5,0.209,0.392,SR
3,6,0.547,0.82,SR
3,7,0.277,0.462,SR
3,8,0.593,0.741,SR
4,5,0.612,0.707,SR
4,6,0.044,0.165,SR
4,7,0.573,0.781,SR
4,8,0.016,0.119,SR
5,6,0.058,0.173,SR
5,7,0.909,0.909,SR
5,8,0.008,0.123,SR
6,7,0.088,0.221,SR
6,8,0.803,0.86,SR
7,8,0.029,0.147,SR
3,4,0.159,0.596,H
3,5,0.491,0.737,H
3,6,0.977,0.977,H
3,7,0.682,0.852,H
3,8,0.406,0.762,H
4,5,0.316,0.678,H
4,6,0.185,0.556,H
4,7,0.241,0.602,H
4,8,0.009,0.128,H
5,6,0.538,0.733,H
5,7,0.765,0.819,H
5,8,0.027,0.205,H
6,7,0.721,0.831,H
6,8,0.415,0.692,H
7,8,0.111,0.553,H
3,4,0.233,0.388,PD
3,5,0.473,0.591,PD
3,6,0.421,0.575,PD
3,7,0.122,0.305,PD
3,8,0.846,0.846,PD
4,5,0.032,0.158,PD
4,6,0.051,0.192,PD
4,7,0.836,0.896,PD
4,8,0.184,0.345,PD
5,6,0.787,0.908,PD
5,7,0.005,0.069,PD
5,8,0.176,0.376,PD
6,7,0.018,0.135,PD
6,8,0.236,0.354,PD
7,8,0.054,0.163,PD
