CoverCode,value,Site,Distance,CoverClass,CoverGroup,CoverGroupClass
110,0.5102040816326531,ALS,1000 m,Residential|Commercial|Industrial,1,Urban
110,0.96579476861167,BRN,1000 m,Residential|Commercial|Industrial,1,Urban
110,0.30612244897959184,FOX,1000 m,Residential|Commercial|Industrial,1,Urban
110,4.63265306122449,CHI,1000 m,Residential|Commercial|Industrial,1,Urban
110,0.30612244897959184,MAP,1000 m,Residential|Commercial|Industrial,1,Urban
110,3.4693877551020407,EPS,1000 m,Residential|Commercial|Industrial,1,Urban
110,3.9207507820646503,COR,1000 m,Residential|Commercial|Industrial,1,Urban
110,0.5714285714285714,CNB,1000 m,Residential|Commercial|Industrial,1,Urban
110,2.1730382293762576,SWZ,1000 m,Residential|Commercial|Industrial,1,Urban
110,0.5510204081632654,WLT,1000 m,Residential|Commercial|Industrial,1,Urban
110,4.469387755102041,ROL,1000 m,Residential|Commercial|Industrial,1,Urban
110,0.4081632653061224,MTV,1000 m,Residential|Commercial|Industrial,1,Urban
110,0.5510204081632654,GRN,1000 m,Residential|Commercial|Industrial,1,Urban
110,2.0408163265306123,HOL,1000 m,Residential|Commercial|Industrial,1,Urban
110,20.448979591836732,PEN,1000 m,Residential|Commercial|Industrial,1,Urban
140,2.7364185110663986,BRN,1000 m,Transportation,1,Urban
140,1.7346938775510203,CNA,1000 m,Transportation,1,Urban
140,3.612244897959184,ALS,1000 m,Transportation,1,Urban
140,6.700201207243461,SWZ,1000 m,Transportation,1,Urban
140,6.36734693877551,WLT,1000 m,Transportation,1,Urban
140,6.755102040816325,CHI,1000 m,Transportation,1,Urban
140,1.7755102040816324,CNB,1000 m,Transportation,1,Urban
140,5.1020408163265305,MTV,1000 m,Transportation,1,Urban
140,3.959183673469388,HOL,1000 m,Transportation,1,Urban
140,5.1020408163265305,EPS,1000 m,Transportation,1,Urban
140,0.6326530612244898,GIL,1000 m,Transportation,1,Urban
140,14.857142857142858,ROL,1000 m,Transportation,1,Urban
140,2.020408163265306,FOX,1000 m,Transportation,1,Urban
140,19.857142857142858,PEN,1000 m,Transportation,1,Urban
140,5.21376433785193,COR,1000 m,Transportation,1,Urban
140,2.6530612244897958,GRN,1000 m,Transportation,1,Urban
140,3.693877551020408,MAS,1000 m,Transportation,1,Urban
140,1.673469387755102,MAP,1000 m,Transportation,1,Urban
140,1.183673469387755,HOP,1000 m,Transportation,1,Urban
211,4.387755102040816,PEN,1000 m,Row crops,2,Agriculture
211,0.30612244897959184,CNA,1000 m,Row crops,2,Agriculture
211,1.4688128772635816,BRN,1000 m,Row crops,2,Agriculture
211,0.7346938775510204,MAP,1000 m,Row crops,2,Agriculture
211,0.6122448979591837,CHI,1000 m,Row crops,2,Agriculture
211,0.10204081632653061,ALS,1000 m,Row crops,2,Agriculture
211,1.1224489795918369,WLT,1000 m,Row crops,2,Agriculture
211,2.2448979591836737,EPS,1000 m,Row crops,2,Agriculture
211,0.22448979591836735,CNB,1000 m,Row crops,2,Agriculture
211,5,ROL,1000 m,Row crops,2,Agriculture
212,3.4081632653061225,MAS,1000 m,Hay pasture,2,Agriculture
212,13.816326530612244,CHI,1000 m,Hay pasture,2,Agriculture
212,14.828973843058352,BRN,1000 m,Hay pasture,2,Agriculture
212,13.530612244897961,MTV,1000 m,Hay pasture,2,Agriculture
212,8.571428571428571,FOX,1000 m,Hay pasture,2,Agriculture
212,18.775510204081634,ALS,1000 m,Hay pasture,2,Agriculture
212,13.943661971830986,SWZ,1000 m,Hay pasture,2,Agriculture
212,4.326530612244897,GIL,1000 m,Hay pasture,2,Agriculture
212,15.571428571428573,WLT,1000 m,Hay pasture,2,Agriculture
212,6.244897959183674,CNA,1000 m,Hay pasture,2,Agriculture
212,4.775510204081633,WLD,1000 m,Hay pasture,2,Agriculture
212,5.142857142857142,GRN,1000 m,Hay pasture,2,Agriculture
212,10.346938775510203,PEN,1000 m,Hay pasture,2,Agriculture
212,3.510204081632653,HOL,1000 m,Hay pasture,2,Agriculture
212,9.326530612244897,EPS,1000 m,Hay pasture,2,Agriculture
212,19.775510204081634,MAP,1000 m,Hay pasture,2,Agriculture
212,14.775510204081632,ROL,1000 m,Hay pasture,2,Agriculture
212,19.326530612244895,CNB,1000 m,Hay pasture,2,Agriculture
