OTUid,SampleID,OTUreads
0001497ccb3e484868f0c5d332e65cb3,oro161500,12
0001497ccb3e484868f0c5d332e65cb3,oro161503,2
000ab0c0866f35dc9800d62b6b3351f1,bri160406,78
0016e4bbcf484b6b1cd8c75ce052cf3f,oro163511,5
002a55767fa7d5c36e61b941d49fa8a4,bri160279,8
002a55767fa7d5c36e61b941d49fa8a4,oro151273,2
002cd90ac50af99826f950170db16509,oro161292,4
003424a1ad60605db89aa84fe2b1a481,oro151326,97
003424a1ad60605db89aa84fe2b1a481,oro151509,170
003424a1ad60605db89aa84fe2b1a481,oro161929,119
003424a1ad60605db89aa84fe2b1a481,oro162981,3
00376a609d4ef0a5244648836fe2ebbd,negoro05A01,3
0037e8a52081bdf73210a9be69db43e1,bri160138,5
0038f02960c3b6f88c6771431bcf1b9d,oro150162,6
003b8e8477c093049f3b0fd02e322c96,bri160190,5
003f63372ff192eeb2e9c4f763e177d4,oro150255,97
004007b71b3e36827c4886a44397382c,bri160251,35
004007b71b3e36827c4886a44397382c,oro162131,26
00495f6b23b49498c9487c5425492b58,bri160276,11
004d169a07076415306a7c0a15605e40,oro161490,34
0050d0c539323b5391cba16b01165f87,oro162567,4
0050d0c539323b5391cba16b01165f87,oro162570,488
0058196c9bc90b70fd86848c4c6cd19c,oro160183,8
005bbe8f8d5b72af26c9a7bdabe083fe,oro162245,7
00896f6fd1b8b02fa627296d0eb51e5c,oro162874,38
00928a7c0b8b5f75dc6c7f8d6f64aa57,bri160589,5
009922ee6031784e40a445ab9d7fa4ca,oro150013,5
009922ee6031784e40a445ab9d7fa4ca,oro150155,4
009922ee6031784e40a445ab9d7fa4ca,oro150185,10
009922ee6031784e40a445ab9d7fa4ca,oro150201,2
009922ee6031784e40a445ab9d7fa4ca,oro150269,2
009922ee6031784e40a445ab9d7fa4ca,oro150467,7
009922ee6031784e40a445ab9d7fa4ca,oro150503,3
009922ee6031784e40a445ab9d7fa4ca,oro151502,5
009922ee6031784e40a445ab9d7fa4ca,oro151517,6
009922ee6031784e40a445ab9d7fa4ca,oro151535,13
009922ee6031784e40a445ab9d7fa4ca,oro151652,3
009922ee6031784e40a445ab9d7fa4ca,oro151978,8
009922ee6031784e40a445ab9d7fa4ca,oro151999,4
009922ee6031784e40a445ab9d7fa4ca,oro152036,2
009922ee6031784e40a445ab9d7fa4ca,oro152083,5
009922ee6031784e40a445ab9d7fa4ca,oro150254,6
009922ee6031784e40a445ab9d7fa4ca,oro152246,18
00ab5de955bef788d54e992bda15703e,oro161959,175
00b04ca9da9c18d5ba74894549e55046,oro150215,9
00b04ca9da9c18d5ba74894549e55046,oro152055,14
00bd4e142fd03cb7edd11d6df3f17c0e,negoro28B02,5
00c129eb1f765991b2b5020acbb445c3,oro152072,49
00d2d2e6992d10c8b54a8d1f271b342a,oro163577,12
00de81b2a44a7e5892c368e2a942e133,bri160086,85
00de81b2a44a7e5892c368e2a942e133,oro162347,26
00dfddd3dd9e041a8dcc5cbe9a7103b0,oro151509,27
00e61def50346fb60db25c1bf6fd74d4,oro161064,12
0100effc24abf071e5f35b69715763c8,oro160508,22
01087d7d2f81d2ed3fde096a9edbe78f,bri160193,8
01087d7d2f81d2ed3fde096a9edbe78f,bri160719,13
011005084c08bd4c19fdb293171ad238,oro162877,26
011c7585da50970680acfe5237484015,oro162258,11
011ff0755fa96450186226e077dfa322,oro161467,10
011ff0755fa96450186226e077dfa322,oro169162,7
0121c62ca7261fce2c14a02f7012cc45,oro163062,15
0121c62ca7261fce2c14a02f7012cc45,oro161929,2
0121c62ca7261fce2c14a02f7012cc45,negoro45A01,2
01247a955c50d372123a8ca945bb0718,oro161538,5
012b0a543b98d1779d1e7aef011ee095,oro16CP160065,53
012b0a543b98d1779d1e7aef011ee095,oro16CP160067,28
012b0a543b98d1779d1e7aef011ee095,oro16CP160078,24
012dbdafdbb37417a8465f258eb01c49,oro163513,14
0150a1e7591e34085699eeb955c3bf34,oro160529,2
0150def931046074c650e805146e1d7c,oro160076,166
0150def931046074c650e805146e1d7c,oro169129,7
0152272161e796b602fb57f73d43a003,oro161799,4
0152272161e796b602fb57f73d43a003,oro161832,6
0152272161e796b602fb57f73d43a003,oro161924,6
016756a48f05be7f8c508d4c827bd736,bri160084,11
017139e9ee21f79d27fa72ebe4a37f54,bri160138,2
017149d1f37d09c650f3d1010e3a83e8,oro164253,41
017149d1f37d09c650f3d1010e3a83e8,oro16CP160059,19
01b04a9bf13ae15e7644b58fd550eefe,oro151310,24
01b04a9bf13ae15e7644b58fd550eefe,oro151680,9
01b04a9bf13ae15e7644b58fd550eefe,oro152361,9
01b04a9bf13ae15e7644b58fd550eefe,oro161957,203
01b60adbfb65aa61db2458a3ee223156,oro151366,112
01b60adbfb65aa61db2458a3ee223156,oro151673,8
01b60adbfb65aa61db2458a3ee223156,oro161695,219
01b60adbfb65aa61db2458a3ee223156,oro160588,14
01b60adbfb65aa61db2458a3ee223156,oro162847,2
01b60adbfb65aa61db2458a3ee223156,oro163196,2
01b60adbfb65aa61db2458a3ee223156,oro163217,1
01b60adbfb65aa61db2458a3ee223156,oro163500,14
01b60adbfb65aa61db2458a3ee223156,oro163502,29
01b60adbfb65aa61db2458a3ee223156,oro163503,393777
01b60adbfb65aa61db2458a3ee223156,oro163504,15
01b60adbfb65aa61db2458a3ee223156,oro163509,4
01b60adbfb65aa61db2458a3ee223156,oro163514,12
01b60adbfb65aa61db2458a3ee223156,oro164506,2
01b60adbfb65aa61db2458a3ee223156,oro164507,10
01b60adbfb65aa61db2458a3ee223156,oro164514,4
01b60adbfb65aa61db2458a3ee223156,bri160407,44
01b60adbfb65aa61db2458a3ee223156,bri160589,261
01bf5e69db1de99334ab74ff7437d198,negoro25A01,7
01bf5e69db1de99334ab74ff7437d198,oro163041,9
01c63c66712c6d363c8456821cfed59e,oro160147,12
01c848f44eb88a9f56cce165d195db37,oro161547,4
01c848f44eb88a9f56cce165d195db37,oro161813,154
01c848f44eb88a9f56cce165d195db37,oro162164,42
01c848f44eb88a9f56cce165d195db37,oro162355,120
01d8b2da92f780b9fdddf64f650950b3,oro160486,5
01e7a32395865612b38783be6c10f1c3,oro150554,3
01f1ac34765df4c042969e35705c8684,bri160193,13
01fdc1cc20644feb1c0573a038aafcca,bri160232,98
020ab906dbe4dae9476ec0f1bc716b03,bri160674,103
020ab906dbe4dae9476ec0f1bc716b03,oro151342,9
020ab906dbe4dae9476ec0f1bc716b03,oro152084,6
020ab906dbe4dae9476ec0f1bc716b03,oro150254,4
020ab906dbe4dae9476ec0f1bc716b03,oro150255,7
020ab906dbe4dae9476ec0f1bc716b03,oro151247,9
020ab906dbe4dae9476ec0f1bc716b03,oro151335,2
020ab906dbe4dae9476ec0f1bc716b03,oro151341,298
020ab906dbe4dae9476ec0f1bc716b03,oro151366,3
020ab906dbe4dae9476ec0f1bc716b03,oro151675,6
020ab906dbe4dae9476ec0f1bc716b03,oro151683,3
020ab906dbe4dae9476ec0f1bc716b03,oro151684,7
020ab906dbe4dae9476ec0f1bc716b03,oro152342,5
020ab906dbe4dae9476ec0f1bc716b03,oro152361,3
020ab906dbe4dae9476ec0f1bc716b03,oro161916,6
020ab906dbe4dae9476ec0f1bc716b03,oro162341,6
0212a7b26fc5b797eabca969a8096fc9,oro169299,12
0218bb9d637de7860855b361b263b871,oro163114,4
022c091bf302039c550872dea2c35a46,oro161911,16
022c091bf302039c550872dea2c35a46,oro163916,8
0234c37b81b7a23126a5ff598eef1eb4,oro163105,32
02384523e016064f2924f0b3bd5c2eb8,oro161478,16
023ead224d07003f3237beb4e91b8341,negoro34A01,236
024e7745fb4da183721b4f3ab905d820,oro151684,36
025fc1eab455ad7af62d030b76d6bd67,oro150359,313
02622624ebbfcbd3440dde51c916de34,oro163465,30
0277fe642041600b13f3df46145664d9,oro161139,6
02804e8f753d253c2dde04889f8bf1c4,oro151674,8
02804e8f753d253c2dde04889f8bf1c4,oro151714,5
02804e8f753d253c2dde04889f8bf1c4,oro162190,22
02804e8f753d253c2dde04889f8bf1c4,oro162208,11
02804e8f753d253c2dde04889f8bf1c4,oro162209,16
02804e8f753d253c2dde04889f8bf1c4,oro162212,38
02804e8f753d253c2dde04889f8bf1c4,oro162260,423
02804e8f753d253c2dde04889f8bf1c4,oro160088,17
02804e8f753d253c2dde04889f8bf1c4,oro160446,360
02804e8f753d253c2dde04889f8bf1c4,oro160498,74
02804e8f753d253c2dde04889f8bf1c4,oro160518,4
02804e8f753d253c2dde04889f8bf1c4,oro160636,28
0283fe5a6b96bf2c2fb5efaa3fe194f3,bri160671,3
029bf73959d319671a5b9ddec0f918c1,bri160220,18
02b19205d9544b4fd68d0d02f7483ab7,bri160174,6
02b19205d9544b4fd68d0d02f7483ab7,bri160669,82
02b19205d9544b4fd68d0d02f7483ab7,oro161500,36
02b19205d9544b4fd68d0d02f7483ab7,bri160411,37
02b264710e9fe311b38ff13693c08145,oro161932,12
02b264710e9fe311b38ff13693c08145,oro161952,32
02bd74facefe462086a0ae10b66553d4,oro162258,65
02bedbf044d813c6ba923ad1660f9f91,bri160674,4
02bedbf044d813c6ba923ad1660f9f91,bri160684,5
02bedbf044d813c6ba923ad1660f9f91,oro160131,5
02bedbf044d813c6ba923ad1660f9f91,oro150154,115
02bedbf044d813c6ba923ad1660f9f91,oro151333,359
02bedbf044d813c6ba923ad1660f9f91,oro151502,45
02bedbf044d813c6ba923ad1660f9f91,oro150261,17
02bedbf044d813c6ba923ad1660f9f91,oro151273,9
02bedbf044d813c6ba923ad1660f9f91,oro151368,3
02bedbf044d813c6ba923ad1660f9f91,oro151488,3
02bedbf044d813c6ba923ad1660f9f91,oro151624,10
02bedbf044d813c6ba923ad1660f9f91,oro151673,4
02bedbf044d813c6ba923ad1660f9f91,oro161155,2
02bedbf044d813c6ba923ad1660f9f91,oro161168,695
02bedbf044d813c6ba923ad1660f9f91,oro161172,2
02bedbf044d813c6ba923ad1660f9f91,oro161173,3
02bedbf044d813c6ba923ad1660f9f91,oro161336,141
02bedbf044d813c6ba923ad1660f9f91,oro161340,10
02bedbf044d813c6ba923ad1660f9f91,oro161827,5
02bedbf044d813c6ba923ad1660f9f91,oro161909,21
02bedbf044d813c6ba923ad1660f9f91,oro161916,8
02bedbf044d813c6ba923ad1660f9f91,oro160446,156
02bedbf044d813c6ba923ad1660f9f91,oro160450,10
02bedbf044d813c6ba923ad1660f9f91,oro160516,162
02bedbf044d813c6ba923ad1660f9f91,oro161950,33
02bedbf044d813c6ba923ad1660f9f91,oro162178,19
02bedbf044d813c6ba923ad1660f9f91,oro163888,16
02bedbf044d813c6ba923ad1660f9f91,oro163528,26
02bedbf044d813c6ba923ad1660f9f91,bri160582,99
02c9c4868c6a35bf89126505d5856a9f,oro161221,9
02dde772df3e601dbfc142b573fb6d2a,oro151681,30
02eef161eab3802726dd8e71cbf85111,oro162746,13
02f9959fae44255252939bc9335c1d9a,oro162472,405
03014b6f977316bdcfbabc163d98b5c3,oro16CP160055,5
0302e4a1e1594122fb94637eb54af379,oro152076,38
030a35c88236dbf94fa6a392a437ff8f,oro162746,4
030fa4dfeb4fb795bd838d41682e9dc8,oro160398,9
03322ec5078f2636aa64f609be1ae730,bri160209,73
