windowA,windowB,pvalue,BHadjusted_pvalue,Metric,Windowgroup
4CNA,4EPS,0.172,0.458,SR,window456
4CNA,4FOX,0.837,0.926,SR,window456
4CNA,4HOL,0.296,0.577,SR,window456
4CNA,4HOP,0.08,0.304,SR,window456
4CNA,4MAP,0.603,0.773,SR,window456
4CNA,4PEN,0.862,0.943,SR,window456
4CNA,5CNA,0.336,0.609,SR,window456
4CNA,5EPS,0.066,0.287,SR,window456
4CNA,5FOX,0.662,0.828,SR,window456
4CNA,5HOL,0.023,0.159,SR,window456
4CNA,5HOP,0.254,0.533,SR,window456
4CNA,5MAP,0.582,0.755,SR,window456
4CNA,5PEN,0.526,0.737,SR,window456
4CNA,6CNA,0.028,0.181,SR,window456
4CNA,6EPS,0.129,0.405,SR,window456
4CNA,6FOX,0.065,0.291,SR,window456
4CNA,6HOL,0.723,0.878,SR,window456
4CNA,6HOP,0.194,0.486,SR,window456
4CNA,6MAP,0.183,0.475,SR,window456
4CNA,6PEN,0.942,0.961,SR,window456
4EPS,4FOX,0.381,0.631,SR,window456
4EPS,4HOL,0.021,0.157,SR,window456
4EPS,4HOP,0.004,0.065,SR,window456
4EPS,4MAP,0.03,0.188,SR,window456
4EPS,4PEN,0.176,0.462,SR,window456
4EPS,5CNA,0.022,0.16,SR,window456
4EPS,5EPS,0.628,0.795,SR,window456
4EPS,5FOX,0.061,0.279,SR,window456
4EPS,5HOL,0,0.009,SR,window456
4EPS,5HOP,0.01,0.101,SR,window456
4EPS,5MAP,0.047,0.246,SR,window456
4EPS,5PEN,0.382,0.627,SR,window456
4EPS,6CNA,0.001,0.028,SR,window456
4EPS,6EPS,0.011,0.106,SR,window456
4EPS,6FOX,0.004,0.063,SR,window456
4EPS,6HOL,0.048,0.244,SR,window456
4EPS,6HOP,0.006,0.084,SR,window456
4EPS,6MAP,0.008,0.093,SR,window456
4EPS,6PEN,0.272,0.561,SR,window456
4FOX,4HOL,0.293,0.575,SR,window456
4FOX,4HOP,0.093,0.333,SR,window456
4FOX,4MAP,0.539,0.735,SR,window456
4FOX,4PEN,0.74,0.888,SR,window456
