groupA,groupB,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig,Metric,WindowGroup,Factor
4CNA , 4EPS,1,0.3801606789556089,1.6289685488025871,0.05318391790461616,0.108,0.11009708737864077,,Dice-Sorensen,windows456,WindowSite
4CNA , 4FOX,1,1.0060560592393262,4.317846940995878,0.17755876790706748,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 4HOL,1,2.0362342217349663,7.685303767043191,0.24255105217065648,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 4MAP,1,1.1211351176896025,4.02099446285092,0.07583777904558588,0.003,0.003772455089820359,*,Dice-Sorensen,windows456,WindowSite
4CNA , 4PEN,1,0.9787117962257401,4.8449936297791725,0.18048034194370666,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 5CNA,1,0.46381739982144277,2.1893161703810975,0.0776647491960604,0.007,0.008305084745762711,*,Dice-Sorensen,windows456,WindowSite
4CNA , 5EPS,1,0.5059077026981893,2.506042688251954,0.07954165215380771,0.015,0.016844919786096257,.,Dice-Sorensen,windows456,WindowSite
4CNA , 5FOX,1,1.1171785319665657,3.5838459812931736,0.10362774525516102,0.002,0.002658227848101266,*,Dice-Sorensen,windows456,WindowSite
4CNA , 5HOL,1,3.5521561630941645,12.169151953426661,0.21286220868450811,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 5MAP,1,0.7625818154715203,2.7722090967192012,0.08208551264088042,0.003,0.003772455089820359,*,Dice-Sorensen,windows456,WindowSite
4CNA , 5PEN,1,0.9172128206192922,3.4228465505313315,0.0846760394830814,0.002,0.002658227848101266,*,Dice-Sorensen,windows456,WindowSite
4CNA , 6CNA,1,2.057974327568031,8.96451652404314,0.28950933295155523,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 6EPS,1,1.9101905818374874,7.951500310440078,0.2950299693468249,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 6FOX,1,1.8681666677761133,7.425809919763892,0.2810059537365446,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 6HOL,1,4.103739182853482,11.877841274368937,0.2017370375217828,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 6HOP,1,3.110725170640966,10.253108470697896,0.2485414760436946,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 6MAP,1,1.5787639879317812,5.396747007618862,0.1775435709046821,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4CNA , 6PEN,1,2.1026011693494735,8.774932447765192,0.31592992941630843,0.002,0.002658227848101266,*,Dice-Sorensen,windows456,WindowSite
4EPS , 4FOX,1,1.1111208627697895,3.9094280015728793,0.15694571554698175,0.004,0.004912280701754386,*,Dice-Sorensen,windows456,WindowSite
4EPS , 4HOL,1,1.9212753830084301,6.264444687712258,0.20036961315914076,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4EPS , 5EPS,1,0.39087213914037067,1.6370649386702414,0.05174515846662007,0.125,0.12620192307692307,,Dice-Sorensen,windows456,WindowSite
4EPS , 5FOX,1,0.9303231980579177,2.713288646506644,0.07816282329619308,0.01,0.01160220994475138,.,Dice-Sorensen,windows456,WindowSite
4EPS , 5HOL,1,3.4576319252343195,11.011590150149585,0.19314651847367728,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4EPS , 6EPS,1,1.6256573320068242,5.536117847734782,0.21679559441044294,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4EPS , 6FOX,1,1.5859298280461172,5.209580222961234,0.20665081198838353,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4EPS , 6HOL,1,3.5333140149721998,9.665514555485895,0.1676134277131216,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4EPS , 6HOP,1,2.6233791427502045,7.83556172201481,0.19669765865720296,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
4FOX , 5FOX,1,0.7788944405321553,2.021011083335104,0.08077255857502777,0.015,0.016844919786096257,.,Dice-Sorensen,windows456,WindowSite
4FOX , 6FOX,1,1.0429402171354756,2.8820456356799893,0.20760957796252175,0.002,0.002658227848101266,*,Dice-Sorensen,windows456,WindowSite
4HOL , 4FOX,1,0.8639319613061792,2.4863618863747035,0.13449709043115002,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
