Order,Family,Genus,Species,nSamples_wOTU,frac_Samples,OTUalias,OTUid
Blattodea,Ectobiidae,Parcoblatta,Parcoblatta uhleriana,53,0.058954393770856504,OTU-49,7cee309d88263cb90811fe24f627aeae
Coleoptera,Pyrochroidae,Dendroides,Dendroides canadensis,181,0.20133481646273638,OTU-10,92e807f319442dd87ddae1a3f7725e65
Coleoptera,Pyrochroidae,Dendroides,Dendroides canadensis,47,0.05228031145717464,OTU-153,15026701e67c14acc6da34251e1b8ec4
Coleoptera,Pyrochroidae,Dendroides,Dendroides canadensis,45,0.05005561735261402,OTU-168,0bb64283957e498be2b9cd8fa3d18c95
Coleoptera,Pyrochroidae,Dendroides,Dendroides concolor,60,0.06674082313681869,OTU-50,04f0c5769fcb09d7d91f7e73a349518c
Coleoptera,Scarabaeidae,Diplotaxis,NA,183,0.203559510567297,OTU-9,dacf098cf73e7cf3e16a1d89287188f6
Coleoptera,Scarabaeidae,Diplotaxis,NA,59,0.06562847608453838,OTU-57,873a3d186ca2bfa1fc2c503b59c0d0e9
Coleoptera,Scarabaeidae,Diplotaxis,NA,58,0.06451612903225806,OTU-103,a7b90c8d4da7f7087ba278f514194ca6
Coleoptera,Elateridae,Hemicrepidius,Hemicrepidius brevicollis,50,0.05561735261401557,OTU-54,44ff1f1258c5ae73633dd2536fc3a50b
Coleoptera,Elateridae,Hemicrepidius,Hemicrepidius memnonius,250,0.27808676307007785,OTU-4,80c4d80457fcc8395bbccc4f364533a8
Coleoptera,Scarabaeidae,Labarrus,Labarrus cincticulus,59,0.06562847608453838,OTU-62,c4afba60302c265bd32b9ef5846b7377
Coleoptera,Scarabaeidae,Maladera,Maladera castanea,330,0.3670745272525028,OTU-1,c5098366c5ba2170bb0bdbb4ebb969cf
Coleoptera,Elateridae,Melanotus,Melanotus hyslopi,75,0.08342602892102335,OTU-132,ddfa0472353451578d9575aab094716a
