OTUalias,ALS,BRN,CHI,CNA,CNB,COR,EPS,FOX,GIL,GRN,HOL,HOP,MAP,MAS,MTV,PEN,SWZ,WLD,WLT
sampleSize,n = 43,n = 59,n = 46,n = 38,n = 35,n = 42,n = 42,n = 94,n = 21,n = 2,n = 77,n = 83,n = 86,n = 16,n = 68,n = 39,n = 45,n = 22,n = 20
OTU-1,0.98,0.24,0.8,0.32,0.4,0.71,0.17,0.21,0.1,0,0.03,0.3,0.16,0.5,0.5,0.18,0.89,0.32,0.75
OTU-16,0.21,0,0.15,0,0.29,0,0,0.04,0.14,0,0.57,0.05,0,0.62,0,0,0.09,0.32,0
OTU-12,0.37,0,0.07,0,0.06,0,0,0.09,0,0,0.06,0.12,0,0,0.03,0,0,0.09,0
OTU-68,0.19,0.05,0,0,0.06,0.1,0,0.09,0.14,0,0.04,0.19,0.03,0,0,0,0.27,0.45,0
OTU-61,0.07,0,0,0,0,0.48,0,0.04,0,0,0.17,0,0,0,0,0.23,0,0,0
OTU-4,0.49,0.14,0.48,0.29,0.49,0.45,0.12,0.26,0.24,0,0.09,0.36,0.14,0.44,0.38,0.13,0.44,0.14,0.4
OTU-6,0.12,0.42,0.24,0.76,0.4,0,0.76,0.23,0.14,0,0.14,0.14,0.49,0.19,0.06,0.62,0.11,0,0
OTU-13,0.07,0.05,0.17,0.05,0.17,0.05,0.05,0.14,0.24,0,0.05,0.07,0.06,0.12,0.22,0.1,0.04,0,0.15
OTU-29,0.07,0,0.07,0,0.17,0,0.12,0.12,0,0,0.04,0,0.09,0,0.18,0.05,0,0,0
OTU-19,0.07,0.15,0,0,0.14,0,0.1,0.13,0,0,0.08,0.07,0.21,0,0,0,0.13,0.14,0
OTU-49,0.05,0.05,0.13,0,0.2,0,0,0.04,0,0,0,0.1,0.02,0.12,0.12,0.13,0.04,0,0
OTU-132,0.07,0.08,0.11,0,0.17,0.07,0,0.06,0,1,0,0.19,0.02,0,0.1,0.05,0.2,0,0.25
OTU-9,0.12,0.19,0.28,0.08,0.26,0.12,0.29,0.21,0,0,0,0.11,0.21,0.31,0.54,0.1,0.44,0.09,0.4
OTU-54,0.14,0,0.09,0,0.2,0.07,0,0.1,0,0,0,0.08,0.02,0,0.1,0,0.04,0,0
OTU-10,0.16,0.15,0.37,0.16,0.29,0.4,0.1,0.14,0.14,0,0.06,0.35,0.15,0.25,0.25,0.05,0.33,0.09,0.4
OTU-127,0.09,0.05,0.09,0,0.14,0,0,0.04,0,0,0,0.18,0.06,0.12,0.1,0,0.16,0,0.2
OTU-7,0.05,0.08,0.26,0.47,0.66,0,0.43,0.21,0.76,0,0.21,0.23,0.03,0.12,0.25,0.74,0,0,0
OTU-17,0.07,0,0.22,0.05,0.26,0,0,0.07,0.43,0,0.03,0.02,0,0,0.21,0.05,0,0,0
OTU-2,0.6,0.47,0.28,0.79,0.6,0.14,0.74,0.32,0.52,0,0.43,0.35,0.62,0.44,0.18,0.85,0.16,0.14,0.2
OTU-155,0.05,0.15,0,0.18,0.06,0,0.36,0.04,0,0,0,0,0.24,0,0,0.1,0.04,0,0
OTU-147,0,0.08,0,0.24,0.09,0,0.43,0.04,0.1,0,0,0,0.09,0,0,0.1,0,0,0
OTU-129,0,0.2,0,0.34,0.11,0,0.48,0.05,0,0,0,0.05,0.29,0,0,0.26,0,0,0
OTU-95,0,0.34,0,0.53,0.11,0,0.48,0.09,0,0,0,0.04,0.36,0,0.03,0.18,0.07,0,0
OTU-57,0,0.07,0.07,0,0.06,0,0.14,0,0,0,0,0.04,0.12,0,0.22,0.08,0.18,0,0.1
OTU-153,0,0.08,0.07,0,0.06,0.1,0,0.02,0,0,0,0.14,0.1,0,0.03,0,0.11,0,0
OTU-168,0,0.07,0.11,0,0,0.05,0,0.02,0,0,0,0.12,0.07,0.19,0.06,0,0.11,0,0.1
OTU-89,0,0.17,0,0.45,0.2,0,0.48,0.09,0,0,0,0.04,0.13,0,0.03,0.26,0.07,0.09,0
OTU-18,0,0.2,0,0.05,0.26,0,0.12,0.07,0.1,0,0.05,0.08,0.16,0.19,0.1,0.08,0,0,0
OTU-38,0,0.08,0,0,0,0.1,0,0.11,0,0,0.12,0.04,0.06,0.12,0.06,0.05,0.07,0.14,0
OTU-73,0,0.05,0.04,0.16,0.11,0,0.1,0.05,0.62,0,0,0.04,0,0,0,0.26,0,0,0
OTU-247,0,0.07,0,0.13,0,0,0.33,0.03,0,0,0,0,0.15,0,0,0.13,0,0,0
OTU-56,0,0.17,0,0.11,0.11,0,0.4,0.05,0.1,0,0,0,0.29,0,0,0.18,0.04,0,0
OTU-93,0,0.27,0,0.55,0.14,0,0.5,0.07,0.1,0,0,0.06,0.3,0,0,0.28,0.07,0,0
OTU-36,0,0.08,0,0.13,0.06,0,0.19,0.06,0,0,0.04,0.2,0.1,0,0.1,0.18,0.07,0,0
OTU-141,0,0.2,0,0.24,0.06,0,0.4,0.03,0,0,0,0.02,0.3,0,0,0.18,0,0,0
OTU-257,0,0.07,0,0.18,0,0,0.31,0.05,0,0,0,0,0.14,0,0,0.05,0,0,0
OTU-84,0,0.25,0,0.34,0.14,0,0.48,0.09,0.1,0,0,0.06,0.31,0,0,0.23,0.04,0,0
OTU-122,0,0.22,0,0.29,0.06,0,0.48,0.04,0,0,0,0.02,0.31,0,0,0.21,0.04,0,0
