Radius,CoverClass,ALS,BRN,CHI,CNA,CNB,COR,EPS,FOX,GIL,GRN,HOL,HOP,MAP,MAS,MTV,PEN,ROL,SWZ,WLD,WLT
1000m,Residential|Commercial|Industrial,0.5,1,4.6,0,0.6,3.9,3.5,0.3,0,0.6,2,0,0.3,0,0.4,20.4,4.5,2.2,0,0.6
1000m,Transportation,3.6,2.7,6.8,1.7,1.8,5.2,5.1,2,0.6,2.7,4,1.2,1.7,3.7,5.1,19.9,14.9,6.7,0,6.4
1000m,Hay pasture,18.8,14.8,13.8,6.2,19.3,7.4,9.3,8.6,4.3,5.1,3.5,13,19.8,3.4,13.5,10.3,14.8,13.9,4.8,15.6
1000m,Orchards,0,3.4,0,1,0.6,0,0,0,0,0,0,0,1.4,0,2.1,0,0.9,0,0,1.6
1000m,Row crops,0.1,1.5,0.6,0.3,0.2,0,2.2,0,0,0,0,0,0.7,0,0,4.4,5,0,0,1.1
1000m,Beech|Oak,17.3,20.9,4.4,26.1,25.5,9.7,4.6,14.4,13.3,10.2,36.3,18.5,17.3,12.6,16.9,6.9,2.5,2.9,41.4,13.6
1000m,Hemlock,6.7,4,1,4.1,6.6,3.3,0,18.1,13.4,8.1,1.4,9.8,3.7,1.6,3.2,0.4,0,12.1,4.5,5.4
1000m,Mixed forest,33.7,22.6,4.7,37,27.4,23,23.5,41.3,48.4,27.5,11,40.3,23.7,33.2,25.6,3.6,18.3,27.9,20.8,36.7
1000m,Other hardwood,2.7,4.2,0.1,3.1,3.7,2.6,8.4,2.8,3.5,2.4,5.5,3,1.5,3.6,0.9,3.2,4.8,0.7,7.5,1.5
1000m,Paper birch|Aspen,0.8,0.9,0.3,0.7,0.3,0.2,0,0.3,1.7,0.2,0,0,0.6,0,0.2,0.1,0,0.2,4,2.4
1000m,Spruce|Fir,0.7,0.6,3.9,0.4,0,1.5,1.9,1.2,1.1,11.8,0.4,0.5,0.9,0,0.2,0.8,0,2.5,2.4,0.2
1000m,White|Red pine,11.8,17.8,38.4,6.8,2.7,23.6,19.2,5.8,7.1,25.4,8.6,10.9,19.6,7.4,23.9,2.4,3.9,18.7,0.9,9.2
1000m,Water,0.4,1,4.7,0.1,3.6,6.6,3,0.2,0.8,0.7,22.8,0,2.5,30.9,2.5,11.6,0.5,0,10.1,0.1
1000m,Wetland:Forested,0,0,0.3,2.2,0.6,0,1.3,0.6,0,0.2,0,0,0,0.9,0,0.5,0.4,0,0,0
1000m,Wetland:Open,1.8,1,4.6,8.8,6,2.8,2.7,2.6,2.4,1.9,0.8,0.5,1,0,1.4,3.7,0.5,2,0.5,0.1
1000m,Disturbed,0,0,0.6,0,0,0.1,1.8,0,0,0,0.1,0.1,0,0,0.8,0.7,1.4,0.2,0.3,0
1000m,Other cleared,1.3,3.4,11.2,1.4,1.1,10.1,13.4,1.9,3.3,3.3,3.7,2.2,5.3,2.8,3.2,10.9,27.6,10,2.7,5.7
2500m,Residential|Commercial|Industrial,0.7,2.6,2.5,1.4,3.2,2.3,3.4,2.3,0.5,1.2,0.9,1,2.5,0.8,1.1,9.7,2.5,1.8,0.2,1.7
2500m,Transportation,2.1,4.8,3.9,3.5,2.3,4.1,4.2,3.8,2.2,3.1,2.9,2.5,4.8,4.3,4.6,10.4,8.5,4.3,0.7,4.7
2500m,Hay pasture,10.8,19.4,9.3,7.4,9.1,10.1,7.4,7.6,3.2,6,2.3,6.6,21.6,1.8,12.1,6.2,22.2,11,1.8,6.9
2500m,Orchards,0,3.1,0,0.8,0.4,0,0,0.1,0,0,0,0.1,2.5,0,2.9,0,1,0,0,2.7
2500m,Row crops,0.1,0.8,0.2,0.5,0,0.3,1.7,0.1,0.3,0.1,0,0,0.8,0,0,5.7,1.8,0,0,0.3
2500m,Beech|Oak,23.1,14.4,14.9,28,23,6.2,17,17.9,17.1,10.8,31.5,17.3,13,11.5,14.3,12.5,3,10.5,34.5,19.3
2500m,Hemlock,7.8,2.1,3.1,4.2,4.8,4.8,0.5,8.9,11.1,7.5,4.2,6.2,2,0.6,8.2,1.5,0.2,8.1,5.3,7.8
2500m,Mixed forest,35.1,21.5,21.3,31.8,30.4,29.2,27,34.9,39.1,31.8,17.4,32.1,18.4,20,29.1,14.3,22.4,30.8,26.4,37.1
2500m,Other hardwood,7.2,1.7,2.8,4.2,4.3,2.3,10.7,2.4,5,1.7,7.9,3.5,1.5,5.6,0.4,4.3,6,2.9,8.8,0.7
2500m,Paper birch|Aspen,2.1,0.2,0.5,1.2,0.3,0.4,0.1,0.2,1.3,0.7,0.7,0.6,0.2,0,0,0.1,0,0.3,4.8,0.5
2500m,Pitch pine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
2500m,Spruce|Fir,1,1,2.8,0.6,1.3,1.5,1.2,1.2,1.9,9.1,1.2,1.6,1,0,0.4,1.3,0,1.9,5.3,0.6
2500m,White|Red pine,6.3,17.5,27.2,9.1,7.4,21,12.1,10.9,7,18.9,9.8,16.4,19.8,7.1,20.2,13,7.2,15,3.2,12.9
2500m,Water,0.5,1.3,2.2,0.9,1.9,6.1,2.7,1.7,2.5,1.1,18.7,3.8,1.3,41,0.8,8.4,4.2,0.4,4,0.5
2500m,Wetland:Forested,0,0.2,0.4,0.5,0.3,0.1,0.4,0.2,1,1.1,0,0.4,0.1,0.4,0,0.4,0.4,0.4,0.5,0
2500m,Wetland:Open,0.7,2,2.6,2.3,3.2,2.3,2.2,2.8,5.4,3.4,0.6,3.8,2.9,0.5,1.2,2.9,0.9,3.7,2.1,0.9
2500m,Disturbed,0,0,0.2,0.2,1.2,0,0.5,0.1,0.1,0,0.2,0.5,0,0.2,0.3,0.2,1,0.7,0.2,0.3
2500m,Other cleared,2.5,7.3,6.1,3.3,6.7,9.3,9,4.8,2.4,3.5,1.5,3.7,7.6,6.1,4.4,9.1,18.6,8.4,2.2,2.9
