SampleID,Site,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Date,WOY,HostSpecies,SiteLat,SiteLong,newDate
bri160082,ACA,SB702,SA508,1.2,bri16,28,H02,sample,7/7/16,28,MYLE,NA,NA,NA
bri160083,ACA,SB703,SA508,1.2,bri16,28,H03,sample,7/12/16,29,EPFU,NA,NA,NA
bri160084,ACA,SB704,SA508,1.2,bri16,28,H04,sample,7/12/16,29,MYSE,NA,NA,NA
bri160085,ACA,SB705,SA508,1.2,bri16,28,H05,sample,7/17/16,29,MYLE,NA,NA,NA
bri160086,ACA,SB706,SA508,1.2,bri16,28,H06,sample,7/17/16,29,MYLE,NA,NA,NA
bri160087,ACA,SB707,SA508,1.2,bri16,28,H07,sample,7/17/16,29,MYLE,NA,NA,NA
bri160088,ACA,SB709,SA508,1.2,bri16,28,H09,sample,7/18/16,30,MYLE,NA,NA,NA
bri160089,ACA,SB710,SA508,1.2,bri16,28,H10,sample,7/18/16,30,MYLE,NA,NA,NA
bri160090,ACA,SB711,SA508,1.2,bri16,28,H11,sample,7/18/16,30,MYLE,NA,NA,NA
bri160091,ACA,SB712,SA508,1.2,bri16,28,H12,sample,7/18/16,30,MYLE,NA,NA,NA
bri160092,ACA,SB702,SC501,5.2,bri16,29,A02,sample,7/18/16,30,NA,NA,NA,NA
bri160094,ACA,SB704,SC501,5.2,bri16,29,A04,sample,7/19/16,30,NA,NA,NA,NA
bri160138,ACA,SA705,SC506,7.2,bri16,39,F05,sample,06/18/16,25,MYSE,NA,NA,NA
bri160139,ACA,SA707,SA506,7.2,bri16,37,F07,sample,06/18/16,25,EPFU,NA,NA,NA
bri160141,ACA,SA702,SA501,7.1,bri16,30,A02,sample,7/9/16,35,MYLE,NA,NA,NA
bri160142,ACA,SA704,SC506,7.2,bri16,39,F04,sample,06/15/16,25,MYLE,NA,NA,NA
bri160143,ACA,SA703,SC506,7.2,bri16,39,F03,sample,06/15/16,25,MYSE,NA,NA,NA
bri160145,ACA,SA707,SC505,7.2,bri16,39,E07,sample,06/9/16,24,MYLE,NA,NA,NA
bri160148,ACA,SA702,SC506,7.2,bri16,39,F02,sample,06/10/16,24,MYLE,NA,NA,NA
bri160149,ACA,SA701,SC506,7.2,bri16,39,F01,sample,06/10/16,24,MYLE,NA,NA,NA
bri160151,ACA,SA711,SC505,7.2,bri16,39,E11,sample,06/9/16,24,MYLE,NA,NA,NA
bri160152,ACA,SA710,SC505,7.2,bri16,39,E10,sample,06/9/16,24,MYLE,NA,NA,NA
bri160153,ACA,SA709,SC505,7.2,bri16,39,E09,sample,06/9/16,24,MYLE,NA,NA,NA
bri160154,ACA,SA708,SC505,7.2,bri16,39,E08,sample,06/9/16,24,MYLE,NA,NA,NA
bri160155,ACA,SA706,SC505,7.2,bri16,39,E06,sample,06/9/16,24,MYLE,NA,NA,NA
bri160156,ACA,SA704,SC505,7.2,bri16,39,E04,sample,06/9/16,24,MYLE,NA,NA,NA
bri160157,ACA,SA702,SC505,7.2,bri16,39,E02,sample,06/9/16,24,MYLE,NA,NA,NA
bri160158,ACA,SA703,SC505,7.2,bri16,39,E03,sample,06/9/16,24,MYLE,NA,NA,NA
bri160159,ACA,SA701,SC505,7.2,bri16,39,E01,sample,06/8/16,24,MYLU,NA,NA,NA
bri160161,YRK,SA710,SA506,7.2,bri16,37,F10,sample,5/27/16,22,MYSE,NA,NA,NA
bri160162,YRK,SA709,SA506,7.2,bri16,37,F09,sample,5/27/16,22,NYHU,NA,NA,NA
bri160163,VRA,SB709,SA507,1.2,bri16,28,G09,sample,5/30/16,23,LABO,NA,NA,NA
bri160164,ELY,SA711,SA503,1.2,bri16,25,C11,sample,6/6/16,24,MYLE,NA,NA,NA
bri160165,ELY,SA712,SA503,1.2,bri16,25,C12,sample,6/7/16,24,MYSE,NA,NA,NA
bri160166,ELY,SA701,SA504,1.2,bri16,25,D01,sample,6/15/16,25,EPFU,NA,NA,NA
bri160167,ELY,SA702,SA504,1.2,bri16,25,D02,sample,6/15/16,25,EPFU,NA,NA,NA
